id,manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,ingredients,rating,record_id_hash,source_system,user_id
1319.0,  A. Morin  ,France,2014.0,Peru,  Pablino  ,-1.0,4.0,"B,S,C,L",4.0,NOISE_320,7574,9991
1676.0,A. Morin,France,2015.0,Togo,Kpime,70.0,4.0,"['B','S','C','L']",3.0,NOISE_276,4422,6166
1676.0,A. Morin,france,2015.0,Togo,Atsane,70.0,4.0,"['B','S','C','L']",3.0,NOISE_175,2727,6317
1680.0,A. Morin,FRANCE,2015.0,Togo,Akata,70.0,4.0,"B,S,C,L",4.0,NOISE_204,3292,8588
1704.0,nan,France,2015.0,Peru,Quilla,70.0,4.0,"B,S,C,L",4.0,NOISE_515,3129,2637
1876.0,A. Morin,France,2016.0,Sao Tome,Agua Grande,63.0 years,4.0,"B,S,C,L",4.0,NOISE_423,6176,3020
2206.0,A. Morin,France,2018.0,Venezuela,Porcelana,70.0,4.0,"B,S,C,L",4.0,NOISE_232,7248,1089
2206.0,A. Morin,France,2018.0,Peru,Absolu,63.0,4.0,"['B','S','C','L']",4.0,NOISE_492,9033,5587
2648.0,A. Morin,France,2021.0,Mexico,La Joya,70,4.0,"B,S,C,L",4.0,NOISE_424,8028,2436
1462.0,Acalli,U.S.A.,2015.0,Peru,"Chulucanas, El Platanal, batch 001",70.0,2.0 years,,4.0,NOISE_431,2097,2840
1470.0,nan,U.S.A.,2015.0,Peru,"Tumbes, Norandino",70.0,2.0,"B,S",4.0,NOISE_683,1241,7304
2462.0,nan,U.S.A.,2020.0,Mexico,"Teapa, Tabasco, batch 2",74.0,2.0,"['B','S']",3.0,NOISE_804,2963,7911
2470.0,Acalli,U.S.A.,2020.0,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0 years,2.0,"B,S",4.0,NOISE_488,8898,8927
705.0,Adi aka Fijiana (Easy In Ltd),Fiji,2011.0,,Vanua Levu,60,3.0,"B,S,C",3.0,NOISE_848,9341,8510
705.0,nan,Fiji,2011.0,Fiji,"Vanua Levu, Toto-A",80.0,3.0,"B,S,C",3.0,NOISE_254,1353,9866
705.0,Adi aka Fijiana (Easy In Ltd),Fiji,2011.0,Fiji,Vanua Levu,88.0,3.0,"B,S,C",4.0,NOISE_607,3841,2794
705.0,Adi aka Fijiana (Easy In Ltd),Fiji,2011.0,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.0,"B,S,C",4.0,NOISE_967,5526,4339
2438.0,  Aelan  ,Vanuatu,2019.0,Vanuatu,"  Malekula Island, batch M10/19  ",70.0,2.0,"B,S",2.0,NOISE_999,3162,6719
2438.0,Aelan,Vanuatu,2019.0,Vanuatu,"  Malo Island, batch Ma20/19  ",70.0,2.0,"['B','S']",3.0,NOISE_546,4077,7223
2442.0,  Aelan  ,VANUATU,2019.0,Vanuatu,"  Santo Island, batch S15/19  ",-1.0,2.0,"B,S",3.0,NOISE_771,7433,2596
2438.0,Aelan,vanuatu,2019.0,Vanuatu,"  EPI Island, batch E 11/19  ",70.0,2.0,"B,S",3.0,NOISE_621,8794,7328
370.0,  Aequare (Gianduja)  ,Ecuador,2009.0,Ecuador,"Los Rios, Quevedo, Arriba",55.0,4.0,"B,S,C,V",3.0,NOISE_226,8901,6193
370.0,  Aequare (Gianduja)  ,Ecuador,2009.0,,"  Los Rios, Quevedo, Arriba  ",70.0,4.0,,3.0,NOISE_932,4932,6716
316.0,Ah Cacao,Mexico,2009.0,,  Tabasco  ,70.0,3.0,"B,S,C",3.0,NOISE_965,3777,4494
502.0,  Akesson's (Pralus)  ,U.K.,2010.0,Madagascar,"Madagascar, Ambolikapiky P.",75.0,4.0,"B,S,C,L",3.0,NOISE_345,8017,2507
508.0,Akesson's (Pralus),U.K.,2010.0,Brazil,"Monte Alegre, D. Badero",75.0,4.0,"B,S,C,L",3.0,NOISE_520,5878,1231
636.0,Akesson's (Pralus),U.K.,2011.0,Indonesia,"Bali (west), Sukrama Family, Melaya area",101.0,4.0,"B,S,C,L",4.0,NOISE_420,2209,7765
1061.0,  Alain Ducasse  ,France,2013.0,Venezuela,Chuao,75.0,5.0,"B,S,C,V,L",2.0,NOISE_484,3933,6032
1173.0,Alain Ducasse,France,2013.0,,"  Piura, Perou  ",75.0,5.0,"B,S,C,V,L",2.0,NOISE_981,4856,8858
1215.0,Alain Ducasse,France,2014.0,Trinidad,  Trinite  ,101.0,6.0,"['B','S','C','V','L','Sa']",3.0,NOISE_635,9845,6633
1215.0,Alain Ducasse,France,2014.0,Vietnam,Vietnam,75.0,5.0,"B,S,C,V,Sa",3.0,NOISE_681,2399,9939
1215.0,  Alain Ducasse  ,France,2014.0,Madagascar,  Madagascar  ,75.0,5.0,"B,S,C,V,Sa",3.0,NOISE_956,6310,4452
1992.0,Alain Ducasse,france,2017.0,Mexico,"Porcelana, Mexique",75.0,6.0,"B,S,C,V,L,Sa",4.0,NOISE_383,5393,5923
1944.0,nan,Netherlands,2017.0,Ecuador,"Winak Coop, Napo",70.0,3.0 years,"B,S,C",4.0,NOISE_620,6092,8266
1944.0,  Alexandre  ,Netherlands,2017.0,Nicaragua,"La Dalia, Matagalpa",70.0,3.0,"['B','S','C']",4.0,NOISE_432,7245,8811
1944.0,Alexandre,Netherlands,2017.0,Tanzania,"Makwale Village, Kyela",70.0 years,3.0,"B,S,C",4.0,NOISE_496,7001,8072
1944.0,Alexandre,Netherlands,2017.0,Vietnam,Tien Giang,70.0,3.0,"B,S,C",4.0,NOISE_366,5780,8469
1125.0,  Altus aka Cao Artisan  ,U.S.A.,2013.0,Venezuela,Sur del Lago,60.0,4.0,"B,S,C,L",2.0,NOISE_465,5286,2559
1125.0,Altus aka Cao Artisan,U.S.A.,2013.0,Dominican Republic,"Conacado, batch 130",60.0,4.0,"B,S,C,L",3.0,NOISE_803,3485,1199
1133.0,Altus aka Cao Artisan,U.S.A.,2013.0,Bolivia,"  Bolivia, batch 154  ",60.0,4.0,,3.0,NOISE_855,3925,3335
1129.0,Altus aka Cao Artisan,U.S.A.,2013.0,Bolivia,"Bolivia, batch 101",80.0,4.0,"B,S,C,L",3.0,NOISE_294,4579,6548
1133.0,  Altus aka Cao Artisan  ,U.S.A.,2013.0,Peru,"Peru, batch 148",60.0,4.0,"B,S,C,L",3.0,NOISE_805,4751,7928
1732.0,Altus aka Cao Artisan,U.S.A.,2016.0,Bolivia,  CIAAB Coop  ,60.0,3.0,"B,S,C",-1.0,NOISE_331,3971,3306
1732.0,Altus aka Cao Artisan,U.S.A.,2016.0,Peru,Villa Andina,60.0,3.0,"['B','S','C']",2.0,NOISE_172,8687,2514
1728.0,Altus aka Cao Artisan,U.S.A.,2016.0,Nicaragua,Momotombo,60.0,3.0,"['B','S','C']",3.0,NOISE_440,3712,5951
1732.0,Altus aka Cao Artisan,U.S.A.,2016.0,Ecuador,Gruppo Salinas,60.0,3.0,"B,S,C",3.0,NOISE_823,9053,9298
1728.0,Altus aka Cao Artisan,U.S.A.,2016.0,Peru,Acopagro,60.0,-3.0,"B,S,C",3.0,NOISE_619,5167,5767
2044.0,Altus aka Cao Artisan,U.S.A.,2018.0,Dominican Republic,Oko Caribe,70.0,3.0,"['B','S','C']",3.0,NOISE_873,8334,9222
147.0,Amano,U.S.A.,2007.0,Venezuela,Cuyagua,70.0,4.0,"B,S,C,V",3.0,NOISE_181,9160,8233
129.0,  Amano  ,U.S.A.,2007.0,Madagascar,  Madagascar  ,70.0,4.0,"B,S,C,V",4.0,NOISE_810,5362,8789
175.0,Amano,U.S.A.,2007.0,Venezuela,Ocumare,70.0,4.0,"['B','S','C','V']",4.0,NOISE_614,4274,6801
304.0,  Amano  ,U.S.A.,2008.0,Indonesia,"  Bali, Jembrana  ",70.0,4.0,"B,S,C,V",3.0,NOISE_105,7716,1496
363.0,nan,U.S.A.,2009.0,Venezuela,Montanya,70.0,4.0,"B,S,C,V",3.0,NOISE_537,9563,6325
544.0,Amano,U.S.A.,2010.0,Venezuela,Chuao,70.0,4.0,,3.0,NOISE_295,5428,3094
470.0,  Amano  ,U.S.A.,2010.0,Dominican Republic,Dos Rios,70.0,4.0,,4.0,NOISE_253,9834,4843
470.0,Amano,U.S.A.,2010.0,Ecuador,Guayas,70.0,4.0,"B,S,C,V",4.0,NOISE_939,9890,5192
725.0,Amano,U.S.A.,2011.0,Papua New Guinea,Morobe,70.0,4.0,"B,S,C,V",4.0,NOISE_836,8511,2631
327.0,Amatller (Simon Coll),Spain,2009.0,,Ecuador,70.0,2.0,"['B','S']",3.0,NOISE_858,1920,4828
464.0,  Amatller (Simon Coll)  ,Spain,2009.0,,Ecuador,85.0,2.0,"B,S",3.0,NOISE_191,3067,7339
322.0,Amatller (Simon Coll),Spain,2009.0,Ghana,  Ghana  ,70.0,2.0,"B,S",3.0,NOISE_928,3883,2633
464.0,Amatller (Simon Coll),Spain,2009.0,Ghana,Ghana,85.0,2.0 years,"['B','S']",3.0,NOISE_781,4255,9062
1964.0,Amazing Cacao,Russia,2017.0,Peru,  Maranon  ,70.0,,,3.0,NOISE_737,5598,6651
1964.0,nan,Russia,2017.0,Peru,Platan Bajo,70.0,,,4.0,NOISE_523,3937,7702
1145.0,Amazona,Peru,2013.0,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0 years,3.0,,3.0,NOISE_534,9558,5671
1145.0,  Amazona  ,Peru,2013.0,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.0,"B,S,C",4.0,NOISE_673,9627,2024
1494.0,Ambrosia,Canada,2015.0,Belize,Belize,64.0,4.0,"B,S,C,L",3.0,NOISE_795,1093,6342
1494.0,Ambrosia,Canada,2015.0,Madagascar,Madagascar,66.0,2.0,"B,S",3.0,NOISE_817,1735,7127
1498.0,Ambrosia,Canada,2015.0,Dominican Republic,Dominican Republic,75.0,2.0,"B,S",105.0,NOISE_597,1763,7324
1498.0,Ambrosia,Canada,2015.0,Papua New Guinea,Papua New Guinea,63,2.0,,3.0,NOISE_658,5933,4887
1498.0,Ambrosia,Canada,2015.0,Venezuela,Venezuela,70.0,2.0,"B,S",3.0,NOISE_120,3851,6946
1498.0,Ambrosia,Canada,2015.0,Peru,Peru,68,2.0,"B,S",4.0,NOISE_337,2694,3563
75.0,Amedei,Italy,2006.0,Blend,Toscano Black,66.0,4.0,"B,S,C,V",4.0,NOISE_239,6624,2172
123.0,Amedei,italy,2007.0,Ecuador,  Ecuador  ,70.0,4.0,"B,S,C,V",3.0,NOISE_749,5760,4313
123.0,nan,Italy,2007.0,Jamaica,Jamaica,70.0,4.0,"B,S,C,V",3.0,NOISE_108,7686,1772
123.0,  Amedei  ,ITALY,2007.0,Grenada,  Grenada  ,70.0,4.0,"['B','S','C','V']",4.0,NOISE_941,2016,2848
129.0,Amedei,Italy,2007.0,Trinidad,Trinidad,70.0,4.0,"B,S,C,V",4.0,NOISE_279,6393,4589
170.0,Amedei,Italy,2007.0,,Toscano Black,63.0,4.0,"['B','S','C','V']",4.0,NOISE_461,4944,7244
123.0,nan,Italy,2007.0,Venezuela,Venezuela,70,4.0,"B,S,C,V",4.0,NOISE_299,9756,8087
979.0,Amedei,Italy,2012.0,Peru,"Piura, Blanco de Criollo",70.0,4.0,"B,S,C,V",4.0,NOISE_493,7411,5625
2088.0,Amedei,Italy,2018.0,Madagascar,Madagascar,70.0,4.0,"['B','S','C','V']",3.0,NOISE_955,5571,1311
2088.0,  Amedei  ,Italy,2018.0,Venezuela,Chuao,70.0,4.0,"['B','S','C','V']",3.0,NOISE_839,2907,1600
2092.0,Amedei,Italy,2018.0,Venezuela,Porcelana,70.0,4.0,"B,S,C,V",,NOISE_468,9223,1077
2092.0,Amedei,Italy,2018.0,Blend,Nine,75.0,4.0,"B,S,C,V",4.0,NOISE_350,3941,5148
2434.0,Amedei,Italy,2019.0,Blend,  Toscano Black  ,70.0,3,"['B','S','C']",3.0,NOISE_841,5513,1697
572.0,AMMA,Brazil,2010.0,Brazil,"Monte Alegre, 3 diff. plantations",85.0,4.0,"B,S,C,L",3.0,NOISE_545,9414,4187
572.0,  AMMA  ,Brazil,2010.0,Brazil,"Monte Alegre, 3 diff. plantations",50.0,4.0,,4.0,NOISE_790,8214,5947
572.0,AMMA,Brazil,2010.0,Brazil,"Monte Alegre, 3 diff. plantations",75.0,4.0,"B,S,C,L",4.0,NOISE_766,7114,5751
572.0,nan,Brazil,2010.0,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,"B,S,C,L",4.0,NOISE_571,6295,9069
1065.0,AMMA,brazil,2013.0,Brazil,Catongo,75.0,4.0,"B,S,C,L",,NOISE_426,3037,9874
1259.0,Anahata,U.S.A.,2014.0,Dominican Republic,Elvesia,75.0,2.0,"B,S",3.0,NOISE_741,8593,6281
1852.0,nan,United States,2016.0,Bolivia,  Alto Beni  ,75.0,2.0,"B,S",4.0,NOISE_825,9904,1829
2586.0,  Animas  ,U.S.A.,2021.0,Belize,"Maya Mountain, batch 39",75.0,2.0,"B,S",3.0,NOISE_780,9777,9675
2586.0,nan,U.S.A.,2021.0,,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75.0,2.0,"B,S",3.0,NOISE_352,7438,2698
1379.0,Ara,France,2014.0,Mexico,Chiapas,72.0,3.0,"['B','S','C']",2.0,NOISE_524,8170,9569
1379.0,Ara,France,2014.0,Ecuador,  Equateur  ,75,3.0,"B,S,C",3.0,NOISE_960,3163,1689
1375.0,  Ara  ,France,2014.0,Madagascar,Madagascar,75.0,3.0,"['B','S','C']",3.0,NOISE_169,1002,5983
1379.0,  Ara  ,France,2014.0,Venezuela,Trincheras,75.0,3.0,"B,S,C",3.0,NOISE_971,4943,6743
1602.0,Arete,U.S.A.,2015.0,Brazil,Fazenda Camboa,75.0,2.0,"['B','S']",3.0,NOISE_125,3184,1823
1602.0,Arete,U.S.A.,2015.0,Guatemala,Guatemala,70.0,2.0,"B,S",3.0,NOISE_540,3155,9894
1534.0,  Arete  ,U.S.A.,2015.0,Brazil,Fazenda Camboa,70.0 years,2.0,"B,S",4.0,NOISE_404,6914,1112
1534.0,Arete,U.S.A.,2015.0,Peru,Nacional,68.0,2.0,"B,S",4.0,NOISE_841,8164,5567
1598.0,Arete,U.S.A.,2015.0,Dominican Republic,Oko Caribe,70.0,2.0,"B,S",4.0,NOISE_681,7390,8280
1602.0,Arete,U.S.A.,2015.0,Ecuador,Camino Verde,75.0,3.0,"B,S,C",4.0,NOISE_882,7432,6905
1534.0,Arete,U.S.A.,2015.0,Ecuador,"  Puerto Quito, heirloom  ",70.0,2.0,"['B','S']",4.0,NOISE_428,1273,1170
1598.0,Arete,U.S.A.,2015.0,Belize,Maya Mountain,70.0,2.0,"B,S",4.0,NOISE_920,7411,7271
1598.0,Arete,U.S.A.,2015.0,Nicaragua,Chuno,70.0,2.0,"B,S",4.0,NOISE_919,9754,4052
1904.0,Arete,U.S.A.,2016.0,Ecuador,Hacienda Victoria,70.0,3.0,"['B','S','C']",3.0,NOISE_373,3948,9812
1904.0,  Arete  ,U.S.A.,2016.0,,Costa Esmeraldas,70.0,3.0,"B,S,C",3.0,NOISE_722,9384,4949
1928.0,Arete,U.S.A.,2016.0,Fiji,  Matasawalevu  ,70.0,2.0,"['B','S']",3.0,NOISE_210,1722,5611
1928.0,Arete,U.S.A.,2016.0,Vietnam,Lam Dong,73.0,2.0,"B,S",3.0,NOISE_576,5843,5909
1724.0,Arete,U.S.A.,2016.0,Trinidad,San Juan,70.0,2.0,"B,S",4.0,NOISE_488,1276,7290
1900.0,Arete,U.S.A.,2016.0,Vietnam,Tien Giang,73.0,3.0,"['B','S','C']",4.0,NOISE_738,5559,7999
1904.0,nan,U.S.A.,2016.0,Guatemala,Lachua,70.0,2.0,"['B','S']",4.0,NOISE_248,9923,5588
1908.0,Arete,U.S.A.,2016.0,Honduras,"La Masica, FHIA",70.0,2.0,"B,S",4.0,NOISE_589,4431,8728
1724.0,Arete,U.S.A.,2016.0,Tanzania,Kokoa Kamili,70.0,2.0,"B,S",4.0,NOISE_943,8305,2044
1904.0,  Arete  ,U.S.A.,2016.0,Nicaragua,Rugoso,70,3.0,"B,S,C",4.0,NOISE_807,8056,1954
1928.0,Arete,U.S.A.,2016.0,Dominican Republic,  Elvesia  ,70.0,2.0,"B,S",4.0,NOISE_215,9287,5720
1908.0,Arete,United States,2016.0,,"Coto Brus, Terciopelo",70.0,2.0,"['B','S']",4.0,NOISE_160,9412,2490
1924.0,  Arete  ,United States,2016.0,Peru,Phantom,70,2.0,"['B','S']",4.0,NOISE_552,4916,3191
2020.0,nan,U.S.A.,2017.0,,Anamalai,70.0,2.0,"B,S",4.0,NOISE_488,3447,5433
2020.0,Arete,U.S.A.,2017.0,Madagascar,Sambirano Valley,70.0,3.0,"B,S,C",4.0,NOISE_971,3041,1621
2020.0,Arete,U.S.A.,2017.0,Vietnam,Ben Tre,73.0,3.0,"B,S,C",4.0,NOISE_826,8097,4603
2028.0,Arete,U.S.A.,2017.0,Peru,Ucayali,70.0,3.0,"B,S,C",4.0,NOISE_200,2422,6285
2024.0,nan,U.S.A.,2017.0,Bolivia,  Beniano  ,70.0,2.0,"B,S",4.0,NOISE_998,6896,2238
2028.0,Arete,U.S.A.,2017.0,Haiti,Pisa,70.0,2.0,"B,S",,NOISE_534,1161,7519
2068.0,Arete,U.S.A.,2018.0,Trinidad,Ramnath E.,70.0,2.0,"B,S",3.0,NOISE_846,6354,2389
2254.0,Arete,U.S.A.,2018.0,Colombia,Tumaco,70.0,2.0,"B,S",4.0,NOISE_327,9930,7298
2450.0,Arete,U.S.A.,2019.0,India,  Idukki  ,70.0,3.0,"B,S,C",3.0,NOISE_362,8659,3418
2330.0,  Arete  ,U.S.A.,2019.0,India,Jangareddygudem,70.0,3.0 years,"['B','S','C']",3.0,NOISE_290,3621,7949
2166.0,Argencove,Nicaragua,2018.0,Nicaragua,Apoyo,70.0,2.0,"['B','S']",3.0,NOISE_174,6338,2704
2162.0,Argencove,Nicaragua,2018.0,Nicaragua,Masaya,70.0,2.0,"B,S",3.0,NOISE_351,4520,1965
2162.0,Argencove,Nicaragua,2018.0,Nicaragua,  Mombacho  ,70.0,2.0,"B,S",4.0,NOISE_138,4168,2469
2162.0,Argencove,Nicaragua,2018.0,Nicaragua,Cocibolca,70.0,2.0,"B,S",4.0,NOISE_624,2110,8477
300.0,Artisan du Chocolat,U.K.,2008.0,Congo,  Congo  ,72.0,3.0,"['B','S','C']",4.0,NOISE_750,5381,7568
363.0,nan,U.K.,2009.0,Brazil,  Brazil Rio Doce  ,72.0,3.0,"['B','S','C']",2.0,NOISE_462,3632,7490
355.0,Artisan du Chocolat,U.K.,2009.0,,"  Ocumare, Venezuela  ",75.0,3.0,"B,S,C",2.0,NOISE_404,8436,6229
355.0,Artisan du Chocolat,U.K.,2009.0,Indonesia,  Java  ,72.0,3.0,"B,S,C",3.0,NOISE_605,4199,5088
363.0,Artisan du Chocolat,U.K.,2009.0,Madagascar,Madagascar,80.0,3.0,"B,S,C",3.0,NOISE_737,7457,4120
363.0,Artisan du Chocolat,u.k.,2009.0,Peru,Peru,75.0,3.0,,3.0,NOISE_334,5097,8671
363.0,  Artisan du Chocolat  ,U.K.,2009.0,Dominican Republic,Dominican Republic,72.0,3.0,"B,S,C",3.0,NOISE_269,4247,6739
486.0,Artisan du Chocolat,U.K.,2010.0,Venezuela,Venezuela,100.0,,,2.0,NOISE_846,3412,8690
600.0,  Artisan du Chocolat  ,U.K.,2010.0,Costa Rica,  Costa Rica  ,72.0,3.0,"B,S,C",3.0,NOISE_839,8524,9942
600.0,Artisan du Chocolat,U.K.,2010.0,Vietnam,Ba Ria Vung Tau Province,72.0,3.0,"B,S,C",3.0,NOISE_773,1626,2828
600.0,Artisan du Chocolat,u.k.,2010.0,Indonesia,Bali,72.0,3.0,"B,S,C",4.0,NOISE_453,1844,7024
531.0,Artisan du Chocolat,U.K.,2010.0,Jamaica,Jamaica,72.0,3,"B,S,C",4.0,NOISE_397,8675,4438
745.0,Artisan du Chocolat,U.k.,2011.0,Panama,Panama,72.0,3.0,"B,S,C",3.0,NOISE_379,5486,7271
729.0,  Artisan du Chocolat  ,U.K.,2011.0,Haiti,Haiti,72.0,3.0,"B,S,C",4.0,NOISE_225,2498,9279
947.0,Artisan du Chocolat,U.K.,2012.0,Colombia,"  Colombia, Casa Luker  ",72.0,3.0,"B,S,C",4.0,NOISE_852,9113,7503
1193.0,  Artisan du Chocolat  ,U.K.,2013.0,Trinidad,"  Trinidad, Heritage, Limited ed.  ",72.0,3.0,"B,S,C",3.0,NOISE_532,9559,6638
1181.0,nan,U.K.,2013.0,Colombia,"Orinoqua Region, Arauca",72.0 years,4.0,"B,S,C,L",3.0,NOISE_789,9427,7187
2562.0,  Aruntam  ,Italy,2021.0,India,"Idukki Kerala, lot IN728221",72.0,4.0,"B,S,C,L",3.0,NOISE_214,7175,2657
2562.0,Aruntam,Italy,2021.0,Madagascar,"Bejofo E., Akesson, lot MA72820",72.0,4.0,"B,S,C,L",3.0,NOISE_206,7663,5751
2566.0,Aruntam,Italy,2021.0,Tanzania,"Kokoa Kamili, lot TZ72199",72.0,4.0,"['B','S','C','L']",6.0,NOISE_492,8387,1922
141.0,Askinosie,U.S.A.,2007.0,Mexico,Xoconusco,75.0,2.0,"B,S",2.0,NOISE_445,8143,3181
175.0,Askinosie,U.S.A.,2007.0,Ecuador,San Jose del Tambo,70.0,2.0,"B,S",3.0,NOISE_405,1453,3757
331.0,Askinosie,U.S.A.,2009.0,Philippines,Davao,77.0,2.0,"B,S",4.0,NOISE_393,3430,6591
647.0,Askinosie,U.S.A.,2011.0,Tanzania,"Tenende, Uwate",72.0,2.0,"B,S",4.0,NOISE_350,4122,4244
661.0,Askinosie,U.S.A.,2011.0,,Cortes,70.0,-2.0,"B,S",4.0,NOISE_112,5847,9912
1780.0,  Askinosie  ,U.S.A.,2016.0,,Mababa,68.0,3.0,"B,S,C",4.0,NOISE_736,7852,1478
2434.0,Atypic,Australia,2019.0,Solomon Islands,Solomon Islands,70.0,4.0,"['B','S','C','L']",3.0,NOISE_296,1603,8353
2056.0,Auro,Philippines,2018.0,Philippines,  Davao  ,77.0,4.0,"B,S,V,L",3.0,NOISE_474,8459,7851
2056.0,Auro,Philippines,2018.0,Philippines,"Paquibao E., 2016",70.0,3.0,"['B','S','C']",3.0,NOISE_222,1689,3870
2056.0,Auro,Philippines,2018.0,Philippines,South Cotabato,70.0,3.0,"B,S,C",3.0,NOISE_825,6524,3752
2056.0,Auro,Philippines,2018.0,Philippines,"Saloy E., 2016",70.0,3.0,"['B','S','C']",4.0,NOISE_583,3902,3584
2672.0,Avanaa,Canada,2021.0,Colombia,Tumaco,70.0,2.0,"B,S",2.0,NOISE_547,7970,8696
2672.0,Avanaa,Canada,2021.0,Dominican Republic,  Zorzal  ,70.0,2.0,"B,S",3.0,NOISE_414,2873,4312
999.0,  Bahen & Co.  ,Australia,2012.0,Brazil,Bahia,70.0,2.0,"B,S",2.0,NOISE_984,5966,2761
999.0,Bahen & Co.,Australia,2012.0,Blend,Houseblend,70.0,2.0,"B,S",2.0,NOISE_512,2328,8710
995.0,nan,Australia,2012.0,Madagascar,  Sambirano  ,70.0,2.0,"B,S",3.0,NOISE_991,7693,8533
1474.0,Bahen & Co.,Australia,2015.0,Blend,Houseblend,80.0,2.0,"B,S",3.0,NOISE_312,4199,7405
1474.0,  Bahen & Co.  ,Australia,2015.0,Papua New Guinea,Papua New Guinea,70.0,2.0,"B,S",4.0,NOISE_109,4639,8263
2146.0,  Baiani  ,Brazil,2018.0,Brazil,"Bahia, Vale Potumujo",70.0,2.0,"B,S",3.0,NOISE_441,1247,5382
1454.0,Bakau,Peru,2015.0,Peru,"Bambamarca, 2015",70.0,3.0,"B,S,C",3.0,NOISE_971,6054,6267
1454.0,Bakau,Peru,2015.0,Peru,"Huallabamba, 2015",70.0,3.0,"B,S,C",4.0,NOISE_735,4909,9782
2290.0,Bankston,U.S.A.,2019.0,Belize,Belize,72.0,3.0,"B,S,C",2.0,NOISE_557,2371,2923
2294.0,Bankston,U.S.A.,2019.0,Uganda,Uganda,82.0,3,"B,S,C",3.0,NOISE_237,2784,8961
2294.0,Bankston,U.S.A.,2019.0,Tanzania,Kokoa Kamili,72,3,"B,S,C",3.0,NOISE_330,2220,4415
