ID,Gender,Age,Customer_Type,Type_of_Travel,Class,Flight_Distance,Departure_Delay,Arrival_Delay,Rating
100,Female,23,First-time,Business,Economy,562,27,36,4
101,Male,44,null,Business,Business,2992,0,0,1
102,Female,51,Returning,Business,Business,1970,0,0,3
103,Male,44,Returning,Business,Business,1964,0,0,1
104,Male,42,Returning,Business,Business,3227,0,0,3
105,Female,55,Returning,Business,Business,2639,0,0,1
106,Male,24,First-time,Business,Business,562,96,95,0
107,Male,47,Returning,Business,Business,3477,0,27,4
108,Male,43,Returning,Business,Business,562,45,51,3
109,Female,72,Returning,Business,Business,1954,60,145,1
110,Female,27,First-time,Business,Business,562,0,0,5
111,Female,39,Returning,Business,Business,2046,104,122,2
112,Female,11,First-time,Business,Economy,562,1,2,0
113,Male,54,Returning,Business,Business,3389,32,40,2
114,Female,51,Returning,Business,Business,562,0,15,3
115,Female,12,First-time,Business,Business,562,11,25,2
116,Female,26,First-time,Business,Business,562,0,8,2
117,Male,39,Returning,Business,Business,1553,0,0,4
118,Male,32,Returning,Business,Business,562,183,192,5
119,Female,37,Returning,Business,Economy,162,0,21,1
120,Male,40,Returning,Business,Business,3043,38,29,2
121,Female,38,Returning,Personal,Economy,562,0,6,1
122,Male,17,Returning,Personal,Economy,562,3,6,4
123,Female,33,Returning,Personal,Economy,562,30,41,3
124,Female,7,Returning,Personal,Economy,562,0,2,5
125,Male,21,Returning,Personal,Economy,562,103,117,5
126,Male,66,Returning,Personal,Economy,562,88,84,5
127,Female,68,Returning,Personal,Economy,562,42,37,1
128,Male,65,Returning,Personal,Economy,562,7,15,1
129,Male,67,Returning,Personal,Economy,562,0,0,2
130,Female,39,Returning,Business,Business,1868,54,49,1
131,Female,28,First-time,Business,Business,562,115,116,3
132,Male,59,First-time,Business,Business,227,11,5,2
133,Female,26,First-time,Business,Business,227,38,44,3
134,Female,33,Returning,Business,Business,227,56,57,1
135,Male,56,First-time,Business,Business,227,0,0,3
136,Female,43,Returning,Business,Business,2029,4,15,2
137,Female,45,Returning,Business,Business,227,0,16,5
138,Male,45,Returning,Business,Business,2374,0,0,2
139,Female,69,Returning,Business,Business,3261,3,3,5
140,Male,31,Returning,Business,Business,3538,0,5,4
141,Female,55,Returning,Business,Business,227,7,1,4
142,Male,58,Returning,Business,Business,227,0,0,2
143,Female,39,Returning,Business,Business,227,0,18,0
144,Female,41,Returning,Business,Business,3002,0,0,0
145,Male,16,Returning,Business,Business,227,265,260,1
146,Male,60,Returning,Business,Business,2371,66,61,4
147,Female,47,Returning,Business,Business,1946,117,136,1
148,Female,54,Returning,Business,Business,227,58,62,3
149,Male,37,Returning,Business,Business,3758,41,50,3
150,Male,21,First-time,Business,Economy,227,166,185,1
151,Male,36,Returning,Business,Business,1534,11,19,1
152,Female,51,Returning,Business,Business,3424,44,42,4
153,Female,35,Returning,Business,Business,227,0,10,3
154,Female,41,Returning,Business,Business,2731,0,0,4
155,Female,17,First-time,Business,Business,227,0,11,3
156,Female,49,First-time,Business,Business,227,4,9,2
157,Male,60,Returning,Business,Business,3415,0,0,3
158,Male,22,First-time,Business,Economy,227,0,0,4
159,Female,46,Returning,Business,Business,227,0,0,4
160,Female,42,Returning,Personal,Economy,227,55,59,4
161,Male,20,Returning,Personal,Economy,227,49,63,5
162,Male,14,Returning,Personal,Economy,227,0,0,5
163,Female,64,Returning,Personal,Economy,227,6,0,4
164,Male,12,Returning,Personal,Economy,227,134,133,4
165,Male,29,Returning,Personal,Economy,227,52,56,5
166,Female,44,Returning,Personal,Economy,227,31,25,3
167,Female,66,Returning,Personal,Economy,227,0,0,5
168,Male,37,Returning,Personal,Economy,227,36,43,5
169,Male,35,Returning,Personal,Economy,227,0,10,3
170,Female,36,Returning,Personal,Economy,227,0,0,5
171,Female,49,Returning,Business,Business,1798,15,12,4
172,Male,37,Returning,Business,Business,227,0,0,3
173,Female,57,Returning,Business,Business,227,10,10,1
174,Female,39,Returning,Business,Business,3822,6,9,4
175,Male,36,First-time,Business,Business,227,0,0,2
176,Female,56,Returning,Personal,Economy Plus,227,0,17,3
177,Female,10,Returning,Personal,Economy Plus,227,39,56,4
178,Male,28,Returning,Personal,Economy Plus,227,0,0,1
179,Female,36,Returning,Business,Business,213,0,0,4
180,Male,56,Returning,Business,Business,2975,0,13,5
181,Female,56,Returning,Business,Business,213,0,0,4
182,Male,44,Returning,Business,Business,2569,0,0,4
183,Male,26,First-time,Business,Business,213,0,0,0
184,Male,44,Returning,Business,Business,2497,0,0,4
185,Male,49,null,Business,Business,213,19,29,1
186,Male,42,Returning,Business,Business,3880,0,0,1
187,Male,36,First-time,Business,Business,213,0,0,3
188,Male,20,First-time,Business,Business,213,0,0,2
189,Female,42,Returning,Business,Business,2888,0,0,0
190,Male,44,Returning,Business,Business,290,0,0,2
191,Male,35,First-time,Business,Business,213,41,29,2
192,Male,52,Returning,Business,Business,2129,95,85,2
193,Female,50,Returning,Business,Business,213,0,0,1
194,Female,46,Returning,Business,Business,3556,128,117,2
195,Male,36,Returning,Business,Business,3098,0,0,4
196,Male,23,First-time,Business,Economy,213,21,31,5
197,Male,56,Returning,Business,Business,2136,0,0,2
198,Male,57,First-time,Business,Business,213,0,0,4
199,Female,60,Returning,Business,Business,3756,36,24,4
200,Female,43,Returning,Business,Business,3175,54,55,3
201,Female,43,null,Business,Business,213,65,85,5
202,Male,38,First-time,Business,Business,213,17,4,3
203,Female,27,First-time,Business,Business,290,0,0,3
204,Female,71,Returning,Business,Business,2376,9,8,3
205,Male,59,Returning,Business,Business,1828,21,19,5
206,Male,53,Returning,Business,Business,3728,0,0,4
207,Female,40,Returning,Business,Business,213,0,0,5
208,Female,49,First-time,Business,Business,213,20,21,2
209,Female,69,Returning,Business,Business,290,0,0,2
210,Female,27,First-time,Business,Economy,213,6,4,2
211,Male,22,First-time,Business,Economy,213,1,4,0
212,Female,30,Returning,Business,Business,213,25,13,5
213,Male,16,Returning,Business,Business,213,0,0,5
214,Male,38,First-time,Business,Business,213,0,0,2
215,Male,34,Returning,Personal,Economy,213,0,0,4
216,Female,35,Returning,Personal,Economy,213,0,2,3
217,Male,48,Returning,Personal,Economy,290,0,0,5
218,Male,17,Returning,Personal,Economy,213,0,3,4
219,Male,31,Returning,Personal,Economy,290,0,0,5
220,Male,31,Returning,Personal,Economy,290,25,42,4
221,Female,36,Returning,Personal,Economy,213,0,0,0
222,Female,44,Returning,Personal,Economy,213,0,5,5
223,Female,16,Returning,Personal,Economy,213,192,293,5
224,Male,35,Returning,Personal,Economy,290,0,24,4
225,Male,29,Returning,Personal,Economy,290,0,0,5
226,Male,66,Returning,Personal,Economy,290,0,0,5
227,Female,56,Returning,Personal,Economy,213,20,8,0
228,Female,17,null,Personal,Economy,213,0,0,4
229,Female,33,Returning,Business,Business,213,0,0,5
230,Female,44,First-time,Business,Business,213,6,40,2
231,Female,47,Returning,Business,Business,1957,14,10,1
232,Female,57,Returning,Business,Business,213,0,0,4
233,Female,38,First-time,Business,Business,213,0,0,4
234,Male,47,Returning,Business,Economy Plus,213,0,0,4
235,Female,16,Returning,Personal,Economy Plus,213,0,0,2
236,Male,35,Returning,Business,Business,3242,0,4,4
237,Male,7,Returning,Personal,Business,719,0,2,5
238,Female,39,Returning,Business,Business,719,82,89,2
239,Male,44,Returning,Business,Business,719,2,11,3
240,Female,49,Returning,Business,Business,3477,7,26,5
241,Male,22,Returning,Business,Business,2689,10,27,2
242,Male,38,null,Business,Business,719,0,0,4
243,Male,22,First-time,Business,Economy,719,14,25,1
244,Male,30,First-time,Business,Business,719,45,41,2
245,Female,29,Returning,Business,Business,2903,17,25,2
246,Male,50,Returning,Business,Business,719,116,140,2
247,Male,11,Returning,Business,Business,719,38,null,1
248,Male,23,Returning,Business,Business,719,35,42,4
249,Male,20,First-time,Business,Economy,319,0,0,0
250,Female,70,Returning,Personal,Economy,719,0,0,4
251,Male,66,First-time,Personal,Economy,719,193,205,2
252,Female,50,Returning,Personal,Economy Plus,719,20,22,1
253,Male,39,Returning,Personal,Economy Plus,719,51,79,5
254,Male,18,Returning,Personal,Economy Plus,719,80,76,4
255,Male,26,Returning,Business,Business,3800,158,213,4
256,Male,22,First-time,Business,Business,612,92,99,4
257,Male,58,Returning,Business,Business,612,1,0,2
258,Male,48,Returning,Business,Business,1708,4,0,4
259,Female,55,Returning,Business,Business,612,14,19,3
260,Male,62,Returning,Business,Business,612,29,22,5
261,Female,61,Returning,Personal,Economy,612,6,6,4
262,Male,63,Returning,Personal,Business,802,0,6,4
263,Male,43,Returning,Personal,Business,802,0,0,2
264,Female,43,Returning,Business,Business,3967,1,0,5
265,Female,49,Returning,Business,Business,825,0,0,3
266,Male,44,Returning,Business,Business,2770,0,0,2
267,Female,40,Returning,Business,Business,2026,0,0,1
268,Male,20,First-time,Business,Economy,802,35,18,3
269,Female,55,Returning,Business,Business,802,165,167,5
270,Female,59,Returning,Business,Business,802,0,14,2
271,Male,35,First-time,Business,Business,802,0,2,1
272,Male,43,Returning,Business,Business,802,0,0,1
273,Male,53,Returning,Business,Business,3357,0,0,2
274,Female,27,First-time,Business,Business,802,0,0,3
275,Female,29,null,Business,Business,3044,0,0,5
276,Female,43,First-time,Business,Economy,402,0,0,0
277,Male,40,Returning,Business,Business,402,0,0,3
278,Female,16,Returning,Personal,Economy,802,0,0,5
279,Female,23,Returning,Personal,Economy,825,0,0,3
280,Male,44,Returning,Personal,Economy,825,0,0,5
281,Male,51,Returning,Personal,Economy,825,0,0,4
282,Male,25,Returning,Personal,Economy,825,0,0,5
283,Male,40,First-time,Business,Business,802,11,4,4
284,Female,17,First-time,Business,Economy,802,0,0,4
285,Female,45,Returning,Business,Business,825,2,0,1
286,Female,41,Returning,Business,Business,802,0,0,4
287,Male,55,Returning,Business,Business,3433,0,0,5
288,Female,42,Returning,Personal,Economy Plus,802,74,74,3
289,Male,51,Returning,Personal,Economy Plus,825,0,0,5
290,Male,39,First-time,Business,Business,1250,0,0,1
291,Male,54,Returning,Business,Business,2718,0,0,1
292,Female,21,First-time,Business,Economy,1250,14,0,3
293,Male,52,Returning,Business,Business,1517,43,17,4
294,Male,17,Returning,Personal,Economy,1250,11,12,2
295,Female,54,Returning,Personal,Economy,1250,123,120,1
296,Female,47,Returning,Business,Business,2262,0,8,4
297,Female,55,Returning,Business,Business,590,62,67,1
298,Male,52,First-time,Business,Business,590,5,0,3
299,Male,41,Returning,Business,Business,590,45,50,2
300,Female,24,First-time,Business,Business,590,0,0,1
301,Male,40,Returning,Business,Business,821,18,19,2
302,Male,52,Returning,Business,Business,821,18,18,5
303,Male,51,Returning,Business,Business,3183,13,11,2
304,Female,43,Returning,Business,Business,1895,0,0,2
305,Male,56,null,Business,Business,2204,55,49,1
306,Male,26,First-time,Business,Business,821,0,0,5
307,Female,31,Returning,Business,Business,2146,0,15,5
308,Female,56,Returning,Business,Business,853,0,0,3
309,Male,53,Returning,Business,Business,853,0,0,2
310,Female,60,null,Business,Business,2180,0,12,1
311,Male,26,First-time,Business,Business,821,10,5,2
312,Male,22,Returning,Business,Business,3206,41,133,2
313,Male,30,First-time,Business,Business,821,25,36,4
314,Female,59,Returning,Business,Business,2160,0,9,2
315,Female,25,Returning,Business,Business,3380,2,3,1
316,Female,44,Returning,Business,Business,821,0,0,1
317,Female,25,First-time,Business,Business,821,0,0,5
318,Female,29,First-time,Business,Business,853,0,10,2
319,Female,60,Returning,Business,Business,821,2,0,1
320,Female,21,First-time,Business,Business,853,0,0,1
321,Male,42,Returning,Business,Business,3109,0,8,1
322,Male,49,Returning,Business,Business,821,0,7,3
323,Male,59,Returning,Business,Business,3674,0,0,2
324,Male,21,First-time,Business,Business,821,0,3,0
325,Female,25,null,Business,Business,821,19,3,1
326,Female,31,Returning,Business,Business,3845,0,0,1
327,Female,39,Returning,Business,Business,821,12,32,3
328,Male,56,Returning,Business,Business,3344,16,4,2
329,Male,47,Returning,Business,Business,3954,9,0,3
330,Male,46,Returning,Business,Business,3293,0,5,4
331,Male,51,Returning,Business,Business,821,0,9,3
332,Male,44,Returning,Business,Economy,453,0,0,1
333,Female,37,First-time,Business,Economy,421,5,15,3
334,Male,26,First-time,Business,Economy,421,0,0,5
335,Female,56,Returning,Business,Business,421,10,0,0
336,Female,40,Returning,Business,Economy,421,0,0,4
337,Male,37,Returning,Personal,Economy,821,0,0,5
338,Female,57,Returning,Personal,Economy,853,0,9,5
339,Female,22,Returning,Personal,Economy,853,0,0,2
340,Male,16,Returning,Personal,Economy,853,0,0,5
341,Female,35,Returning,Personal,Economy,821,0,6,5
342,Male,27,Returning,Personal,Economy,821,0,12,4
343,Female,58,Returning,Personal,Economy,821,0,0,4
344,Male,8,Returning,Personal,Economy,821,18,13,1
345,Male,9,Returning,Personal,Economy,853,23,17,1
346,Male,68,Returning,Personal,Economy,853,27,36,2
347,Female,30,Returning,Personal,Economy,821,9,8,5
348,Male,56,Returning,Personal,Economy,853,0,0,4
349,Female,33,Returning,Personal,Economy,821,0,0,3
350,Female,25,Returning,Business,Business,853,0,12,5
351,Male,57,Returning,Business,Business,821,31,30,2
352,Female,7,Returning,Personal,Economy Plus,853,0,0,5
353,Female,37,Returning,Personal,Economy Plus,821,0,15,5
354,Female,51,Returning,Personal,Economy Plus,821,23,10,5
355,Male,16,Returning,Personal,Economy Plus,821,0,0,3
356,Male,50,Returning,Business,Business,102,23,24,4
357,Female,43,Returning,Business,Business,102,0,0,2
358,Female,39,First-time,Business,Business,247,42,96,2
359,Male,55,Returning,Business,Business,3431,0,0,4
360,Male,27,First-time,Business,Business,113,0,0,4
361,Male,40,Returning,Business,Business,229,0,0,5
362,Male,24,First-time,Business,Economy,134,14,14,3
363,Female,39,Returning,Business,Business,1869,0,0,2
364,Female,33,First-time,Business,Business,113,0,0,3
365,Female,42,Returning,Business,Business,1924,13,7,2
366,Female,35,Returning,Business,Business,164,33,29,5
367,Male,26,First-time,Business,Business,102,0,0,0
368,Female,46,Returning,Business,Business,354,43,43,0
369,Female,53,Returning,Business,Business,2366,0,0,2
370,Male,49,Returning,Business,Business,3770,0,0,1
371,Male,50,Returning,Business,Business,482,0,3,4
372,Male,50,Returning,Business,Business,3579,25,22,1
373,Male,43,Returning,Business,Business,2169,0,0,3
374,Female,39,Returning,Business,Business,2895,27,30,3
375,Male,53,Returning,Business,Business,2235,0,3,3
376,Male,54,Returning,Business,Business,270,44,26,1
377,Female,54,Returning,Business,Business,3628,14,6,4
378,Male,41,First-time,Business,Business,309,0,0,1
379,Female,42,Returning,Business,Business,247,0,0,3
380,Male,45,Returning,Business,Business,1507,0,0,0
381,Female,56,Returning,Business,Business,102,34,31,4
382,Female,46,Returning,Business,Business,1987,70,66,3
383,Female,58,Returning,Business,Business,3442,13,16,4
384,Male,43,Returning,Business,Business,102,0,0,1
385,Female,45,Returning,Business,Business,229,0,0,0
386,Female,58,Returning,Business,Business,2759,59,51,2
387,Female,54,Returning,Business,Business,2722,0,0,4
388,Male,69,Returning,Business,Business,2848,0,0,3
389,Female,27,First-time,Business,Business,102,0,0,2
390,Male,58,Returning,Business,Business,3432,0,0,1
391,Female,52,Returning,Business,Business,1954,0,0,3
392,Male,52,Returning,Business,Business,1938,0,31,5
393,Male,49,null,Business,Business,134,0,0,4
394,Female,35,Returning,Business,Business,140,3,5,1
395,Female,54,Returning,Business,Business,3325,0,0,5
396,Male,35,Returning,Business,Business,3838,0,3,1
397,Female,26,First-time,Business,Business,158,0,1,3
398,Male,52,Returning,Business,Business,134,0,0,4
399,Male,38,First-time,Business,Business,164,0,0,4
400,Male,23,First-time,Business,Economy,134,0,0,0
401,Female,36,Returning,Business,Business,1818,0,4,4
402,Male,42,Returning,Business,Business,3824,0,0,5
403,Female,39,Returning,Business,Business,1661,0,0,3
404,Male,39,Returning,Business,Business,102,0,0,5
405,Male,59,Returning,Business,Business,309,48,55,2
406,Male,36,First-time,Business,Business,134,0,0,1
407,Female,32,Returning,Business,Business,164,0,0,4
408,Female,47,Returning,Business,Business,3169,0,0,5
409,Male,48,Returning,Business,Business,229,39,45,5
410,Male,57,Returning,Business,Business,3687,0,0,1
411,Female,49,Returning,Business,Business,2739,1,0,5
412,Male,58,Returning,Business,Business,158,0,0,2
413,Male,53,Returning,Business,Business,1822,0,0,1
414,Male,51,Returning,Business,Business,3458,0,2,4
415,Female,38,First-time,Business,Business,229,0,0,4
416,Female,44,Returning,Business,Business,3915,0,0,2
417,Female,36,Returning,Business,Business,2474,0,0,1
418,Female,48,Returning,Business,Business,270,0,5,5
419,Male,58,Returning,Business,Business,309,0,1,5
420,Male,36,Returning,Business,Business,140,88,85,2
421,Female,25,First-time,Business,Business,312,0,0,0
422,Male,42,Returning,Business,Business,3957,7,50,4
423,Female,30,First-time,Business,Business,270,0,0,2
424,Female,51,Returning,Business,Business,3873,2,0,1
425,Male,59,Returning,Business,Business,3800,0,0,4
426,Female,39,Returning,Business,Business,1770,0,2,1
427,Female,35,First-time,Business,Business,113,0,0,1
428,Female,40,Returning,Business,Business,1654,0,0,3
429,Female,52,Returning,Personal,Business,309,6,16,5
430,Female,24,Returning,Personal,Business,140,74,76,5
431,Male,47,Returning,Personal,Business,102,0,0,2
432,Female,46,Returning,Personal,Business,247,0,0,5
433,Male,63,Returning,Personal,Business,102,0,0,4
434,Female,27,Returning,Personal,Business,158,24,23,5
435,Male,53,null,Personal,Business,134,80,71,2
436,Female,60,Returning,Personal,Business,396,0,0,5
437,Male,46,Returning,Personal,Business,134,0,0,4
438,Female,63,Returning,Personal,Business,282,0,0,4
439,Female,57,Returning,Personal,Business,134,6,7,3
440,Female,66,Returning,Personal,Business,396,0,0,5
441,Male,31,Returning,Personal,Business,229,0,0,5
442,Female,14,Returning,Personal,Business,309,0,0,4
443,Male,35,Returning,Personal,Business,247,0,0,4
444,Male,48,Returning,Personal,Business,247,27,32,5
445,Female,41,Returning,Business,Business,3060,0,0,4
446,Male,46,Returning,Business,Business,2978,0,0,5
447,Female,51,Returning,Business,Business,354,7,8,1
448,Male,48,Returning,Business,Business,2607,0,0,4
449,Male,42,First-time,Business,Business,282,0,0,4
450,Female,32,Returning,Business,Business,1804,0,0,2
451,Female,27,null,Business,Business,158,0,0,5
452,Female,39,Returning,Business,Business,3409,0,0,4
453,Male,55,Returning,Business,Business,134,0,0,4
454,Male,59,Returning,Business,Business,312,26,18,1
455,Male,47,Returning,Business,Business,3145,51,34,5
456,Female,34,Returning,Business,Business,3310,1,1,5
457,Female,48,Returning,Business,Business,3945,0,18,5
458,Male,43,Returning,Business,Business,113,0,0,5
459,Male,59,Returning,Business,Business,134,0,10,1
460,Female,38,Returning,Business,Business,1911,0,0,0
461,Male,41,Returning,Business,Business,2227,0,0,3
462,Female,53,Returning,Business,Business,102,0,1,1
463,Female,44,Returning,Business,Business,2500,22,12,1
464,Female,26,Returning,Business,Business,229,0,0,5
465,Female,30,Returning,Business,Business,396,0,0,1
466,Female,48,Returning,Business,Business,102,0,0,3
467,Female,47,Returning,Business,Business,3730,0,0,5
468,Female,51,Returning,Business,Business,1568,0,0,5
469,Male,48,Returning,Business,Business,3617,0,15,5
470,Male,43,Returning,Business,Business,1634,0,0,2
471,Female,56,Returning,Business,Business,89,0,0,1
472,Male,40,First-time,Business,Business,113,22,20,1
473,Male,57,Returning,Business,Business,1760,0,0,4
474,Female,39,Returning,Business,Business,1681,0,0,4
475,Female,59,Returning,Business,Business,3517,0,0,1
476,Female,62,Returning,Business,Business,3490,22,19,3
477,Male,57,Returning,Business,Business,1595,63,73,3
478,Female,43,Returning,Business,Business,89,0,0,4
479,Male,28,First-time,Business,Business,309,0,11,4
480,Female,37,First-time,Business,Business,164,0,0,4
481,Male,55,Returning,Business,Business,134,0,0,1
482,Female,30,Returning,Business,Business,482,0,0,1
483,Female,34,Returning,Business,Business,2553,0,0,5
484,Male,45,Returning,Business,Business,1528,5,1,0
485,Male,39,Returning,Business,Business,2540,14,11,4
486,Male,48,Returning,Business,Business,354,15,23,1
487,Male,23,First-time,Business,Business,158,0,0,5
488,Male,48,Returning,Business,Business,89,19,16,4
489,Male,20,First-time,Business,Economy,164,0,1,0
490,Female,51,Returning,Business,Business,2752,0,2,1
491,Female,57,Returning,Business,Business,229,0,0,3
492,Male,57,Returning,Business,Business,2884,3,21,1
493,Male,59,Returning,Business,Business,134,0,0,4
494,Female,32,First-time,Business,Business,309,0,0,3
495,Female,59,Returning,Business,Business,3621,0,4,4
496,Female,34,Returning,Business,Business,3008,0,0,5
497,Female,41,Returning,Business,Business,164,9,0,1
498,Female,49,Returning,Business,Business,3603,0,0,5
499,Female,57,Returning,Business,Business,2541,0,0,2
500,Male,48,Returning,Business,Business,2469,0,0,2
501,Female,38,Returning,Business,Business,354,16,3,1
502,Male,41,Returning,Business,Business,1549,37,32,4
503,Male,38,Returning,Business,Business,3598,0,4,5
504,Male,39,Returning,Business,Business,2068,0,0,1
505,Male,52,Returning,Business,Business,164,20,9,4
506,Male,50,Returning,Business,Business,3003,0,0,0
507,Female,36,Returning,Business,Business,1709,0,0,2
508,Female,38,Returning,Business,Business,3690,0,0,4
509,Female,57,Returning,Business,Business,2241,0,0,1
510,Female,52,Returning,Business,Business,354,0,0,1
511,Female,40,Returning,Business,Business,134,0,0,3
512,Male,36,First-time,Business,Business,247,15,32,2
513,Male,56,Returning,Business,Business,140,0,0,3
514,Male,41,Returning,Business,Business,134,0,0,5
515,Male,21,First-time,Business,Business,89,0,0,0
516,Male,57,Returning,Business,Business,247,0,0,5
517,Male,50,Returning,Business,Business,1935,0,0,0
518,Female,15,First-time,Business,Economy,247,0,0,0
519,Female,34,Returning,Business,Business,396,0,0,2
520,Female,50,Returning,Business,Business,2938,0,4,1
521,Female,59,First-time,Business,Business,158,0,0,2
522,Female,39,Returning,Business,Business,158,0,18,1
523,Female,48,Returning,Business,Business,3418,0,1,3
524,Female,50,Returning,Business,Business,3425,3,0,4
525,Female,30,Returning,Business,Business,134,61,58,2
526,Female,55,Returning,Business,Business,1827,0,0,5
527,Male,38,First-time,Business,Business,134,6,1,4
528,Female,49,Returning,Business,Business,134,0,0,3
529,Male,54,Returning,Business,Business,2526,0,0,5
530,Female,54,Returning,Business,Business,1665,0,0,0
531,Male,52,Returning,Business,Business,2055,7,9,0
532,Male,51,Returning,Business,Business,3462,0,0,4
533,Female,38,First-time,Business,Business,309,0,0,3
534,Male,32,null,Business,Business,309,0,0,3
535,Female,42,Returning,Business,Business,1956,31,22,0
536,Female,51,Returning,Business,Business,134,0,0,5
537,Male,23,First-time,Business,Economy,134,0,0,4
