id,manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,ingredients,rating
1133,Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",60,4,"B,S,C,L",3
1732,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,60,3,"B,S,C",2
1732,Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,60,3,"B,S,C",2
1728,Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,60,3,"B,S,C",3
1732,Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,60,3,"B,S,C",3
1728,Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,60,3,"B,S,C",3
2044,Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,70,3,"B,S,C",3
147,Amano,U.S.A.,2007,Venezuela,Cuyagua,70,4,"B,S,C,V",3
129,Amano,U.S.A.,2007,Madagascar,Madagascar,70,4,"B,S,C,V",4
175,Amano,U.S.A.,2007,Venezuela,Ocumare,70,4,"B,S,C,V",4
304,Amano,U.S.A.,2008,Indonesia,"Bali, Jembrana",70,4,"B,S,C,V",3
363,Amano,U.S.A.,2009,Venezuela,Montanya,70,4,"B,S,C,V",3
544,Amano,U.S.A.,2010,Venezuela,Chuao,70,4,"B,S,C,V",3
470,Amano,U.S.A.,2010,Dominican Republic,Dos Rios,70,4,"B,S,C,V",4
470,Amano,U.S.A.,2010,Ecuador,Guayas,70,4,"B,S,C,V",4
725,Amano,U.S.A.,2011,Papua New Guinea,Morobe,70,4,"B,S,C,V",4
327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70,2,"B,S",3
464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85,2,"B,S",3
322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70,2,"B,S",3
464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85,2,"B,S",3
1964,Amazing Cacao,Russia,2017,Peru,Maranon,70,null,null,3
1964,Amazing Cacao,Russia,2017,Peru,Platan Bajo,70,null,null,4
1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72,3,"B,S,C",3
1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73,3,"B,S,C",4
1494,Ambrosia,Canada,2015,Belize,Belize,64,4,"B,S,C,L",3
1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66,2,"B,S",3
1498,Ambrosia,Canada,2015,Dominican Republic,Dominican Republic,75,2,"B,S",3
1498,Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,63,2,"B,S",3
1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70,2,"B,S",3
1498,Ambrosia,Canada,2015,Peru,Peru,68,2,"B,S",4
75,Amedei,Italy,2006,Blend,Toscano Black,66,4,"B,S,C,V",4
123,Amedei,Italy,2007,Ecuador,Ecuador,70,4,"B,S,C,V",3
123,Amedei,Italy,2007,Jamaica,Jamaica,70,4,"B,S,C,V",3
123,Amedei,Italy,2007,Grenada,Grenada,70,4,"B,S,C,V",4
129,Amedei,Italy,2007,Trinidad,Trinidad,70,4,"B,S,C,V",4
170,Amedei,Italy,2007,Blend,Toscano Black,63,4,"B,S,C,V",4
123,Amedei,Italy,2007,Venezuela,Venezuela,70,4,"B,S,C,V",4
979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70,4,"B,S,C,V",4
2088,Amedei,Italy,2018,Madagascar,Madagascar,70,4,"B,S,C,V",3
2088,Amedei,Italy,2018,Venezuela,Chuao,70,4,"B,S,C,V",3
2092,Amedei,Italy,2018,Venezuela,Porcelana,70,4,"B,S,C,V",3
2092,Amedei,Italy,2018,Blend,Nine,75,4,"B,S,C,V",4
2434,Amedei,Italy,2019,Blend,Toscano Black,70,3,"B,S,C",3
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85,4,"B,S,C,L",3
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50,4,"B,S,C,L",4
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75,4,"B,S,C,L",4
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60,4,"B,S,C,L",4
1065,AMMA,Brazil,2013,Brazil,Catongo,75,4,"B,S,C,L",3
1259,Anahata,U.S.A.,2014,Dominican Republic,Elvesia,75,2,"B,S",3
1852,Animas,U.S.A.,2016,Bolivia,Alto Beni,75,2,"B,S",4
2586,Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",75,2,"B,S",3
2586,Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75,2,"B,S",3
1379,Ara,France,2014,Mexico,Chiapas,72,3,"B,S,C",2
1379,Ara,France,2014,Ecuador,Equateur,75,3,"B,S,C",3
1375,Ara,France,2014,Madagascar,Madagascar,75,3,"B,S,C",3
1379,Ara,France,2014,Venezuela,Trincheras,75,3,"B,S,C",3
1602,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,75,2,"B,S",3
1602,Arete,U.S.A.,2015,Guatemala,Guatemala,70,2,"B,S",3
1534,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,70,2,"B,S",4
1534,Arete,U.S.A.,2015,Peru,Nacional,68,2,"B,S",4
1598,Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,70,2,"B,S",4
1602,Arete,U.S.A.,2015,Ecuador,Camino Verde,75,3,"B,S,C",4
1534,Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",70,2,"B,S",4
1598,Arete,U.S.A.,2015,Belize,Maya Mountain,70,2,"B,S",4
1598,Arete,U.S.A.,2015,Nicaragua,Chuno,70,2,"B,S",4
1904,Arete,U.S.A.,2016,Ecuador,Hacienda Victoria,70,3,"B,S,C",3
1904,Arete,U.S.A.,2016,Ecuador,Costa Esmeraldas,70,3,"B,S,C",3
1928,Arete,U.S.A.,2016,Fiji,Matasawalevu,70,2,"B,S",3
1928,Arete,U.S.A.,2016,Vietnam,Lam Dong,73,2,"B,S",3
1724,Arete,U.S.A.,2016,Trinidad,San Juan,70,2,"B,S",4
1900,Arete,U.S.A.,2016,Vietnam,Tien Giang,73,3,"B,S,C",4
1904,Arete,U.S.A.,2016,Guatemala,Lachua,70,2,"B,S",4
1908,Arete,U.S.A.,2016,Honduras,"La Masica, FHIA",70,2,"B,S",4
1724,Arete,U.S.A.,2016,Tanzania,Kokoa Kamili,70,2,"B,S",4
1904,Arete,U.S.A.,2016,Nicaragua,Rugoso,70,3,"B,S,C",4
1928,Arete,U.S.A.,2016,Dominican Republic,Elvesia,70,2,"B,S",4
1908,Arete,U.S.A.,2016,Costa Rica,"Coto Brus, Terciopelo",70,2,"B,S",4
1924,Arete,U.S.A.,2016,Peru,Phantom,70,2,"B,S",4
2020,Arete,U.S.A.,2017,India,Anamalai,70,2,"B,S",4
2020,Arete,U.S.A.,2017,Madagascar,Sambirano Valley,70,3,"B,S,C",4
2020,Arete,U.S.A.,2017,Vietnam,Ben Tre,73,3,"B,S,C",4
2028,Arete,U.S.A.,2017,Peru,Ucayali,70,3,"B,S,C",4
2024,Arete,U.S.A.,2017,Bolivia,Beniano,70,2,"B,S",4
2028,Arete,U.S.A.,2017,Haiti,Pisa,70,2,"B,S",4
2068,Arete,U.S.A.,2018,Trinidad,Ramnath E.,70,2,"B,S",3
2254,Arete,U.S.A.,2018,Colombia,Tumaco,70,2,"B,S",4
2450,Arete,U.S.A.,2019,India,Idukki,70,3,"B,S,C",3
2330,Arete,U.S.A.,2019,India,Jangareddygudem,70,3,"B,S,C",3
2166,Argencove,Nicaragua,2018,Nicaragua,Apoyo,70,2,"B,S",3
2162,Argencove,Nicaragua,2018,Nicaragua,Masaya,70,2,"B,S",3
2162,Argencove,Nicaragua,2018,Nicaragua,Mombacho,70,2,"B,S",4
2162,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70,2,"B,S",4
300,Artisan du Chocolat,U.K.,2008,Congo,Congo,72,3,"B,S,C",4
363,Artisan du Chocolat,U.K.,2009,Brazil,Brazil Rio Doce,72,3,"B,S,C",2
355,Artisan du Chocolat,U.K.,2009,Venezuela,"Ocumare, Venezuela",75,3,"B,S,C",2
355,Artisan du Chocolat,U.K.,2009,Indonesia,Java,72,3,"B,S,C",3
363,Artisan du Chocolat,U.K.,2009,Madagascar,Madagascar,80,3,"B,S,C",3
363,Artisan du Chocolat,U.K.,2009,Peru,Peru,75,3,"B,S,C",3
363,Artisan du Chocolat,U.K.,2009,Dominican Republic,Dominican Republic,72,3,"B,S,C",3
486,Artisan du Chocolat,U.K.,2010,Venezuela,Venezuela,100,null,null,2
600,Artisan du Chocolat,U.K.,2010,Costa Rica,Costa Rica,72,3,"B,S,C",3
600,Artisan du Chocolat,U.K.,2010,Vietnam,Ba Ria Vung Tau Province,72,3,"B,S,C",3
600,Artisan du Chocolat,U.K.,2010,Indonesia,Bali,72,3,"B,S,C",4
531,Artisan du Chocolat,U.K.,2010,Jamaica,Jamaica,72,3,"B,S,C",4
745,Artisan du Chocolat,U.K.,2011,Panama,Panama,72,3,"B,S,C",3
729,Artisan du Chocolat,U.K.,2011,Haiti,Haiti,72,3,"B,S,C",4
947,Artisan du Chocolat,U.K.,2012,Colombia,"Colombia, Casa Luker",72,3,"B,S,C",4
1193,Artisan du Chocolat,U.K.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72,3,"B,S,C",3
1181,Artisan du Chocolat (Casa Luker),U.K.,2013,Colombia,"Orinoqua Region, Arauca",72,4,"B,S,C,L",3
2562,Aruntam,Italy,2021,India,"Idukki Kerala, lot IN728221",72,4,"B,S,C,L",3
2562,Aruntam,Italy,2021,Madagascar,"Bejofo E., Akesson, lot MA72820",72,4,"B,S,C,L",3
2566,Aruntam,Italy,2021,Tanzania,"Kokoa Kamili, lot TZ72199",72,4,"B,S,C,L",4
141,Askinosie,U.S.A.,2007,Mexico,Xoconusco,75,2,"B,S",2
175,Askinosie,U.S.A.,2007,Ecuador,San Jose del Tambo,70,2,"B,S",3
331,Askinosie,U.S.A.,2009,Philippines,Davao,77,2,"B,S",4
647,Askinosie,U.S.A.,2011,Tanzania,"Tenende, Uwate",72,2,"B,S",4
661,Askinosie,U.S.A.,2011,Honduras,Cortes,70,2,"B,S",4
1780,Askinosie,U.S.A.,2016,Tanzania,Mababa,68,3,"B,S,C",4
2434,Atypic,Australia,2019,Solomon Islands,Solomon Islands,70,4,"B,S,C,L",3
2056,Auro,Philippines,2018,Philippines,Davao,77,4,"B,S,V,L",3
2056,Auro,Philippines,2018,Philippines,"Paquibao E., 2016",70,3,"B,S,C",3
2056,Auro,Philippines,2018,Philippines,South Cotabato,70,3,"B,S,C",3
2056,Auro,Philippines,2018,Philippines,"Saloy E., 2016",70,3,"B,S,C",4
2672,Avanaa,Canada,2021,Colombia,Tumaco,70,2,"B,S",2
2672,Avanaa,Canada,2021,Dominican Republic,Zorzal,70,2,"B,S",3
999,Bahen & Co.,Australia,2012,Brazil,Bahia,70,2,"B,S",2
999,Bahen & Co.,Australia,2012,Blend,Houseblend,70,2,"B,S",2
995,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70,2,"B,S",3
1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80,2,"B,S",3
1474,Bahen & Co.,Australia,2015,Papua New Guinea,Papua New Guinea,70,2,"B,S",4
2146,Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70,2,"B,S",3
1454,Bakau,Peru,2015,Peru,"Bambamarca, 2015",70,3,"B,S,C",3
1454,Bakau,Peru,2015,Peru,"Huallabamba, 2015",70,3,"B,S,C",4
2290,Bankston,U.S.A.,2019,Belize,Belize,72,3,"B,S,C",2
2294,Bankston,U.S.A.,2019,Uganda,Uganda,82,3,"B,S,C",3
2294,Bankston,U.S.A.,2019,Tanzania,Kokoa Kamili,72,3,"B,S,C",3
983,Bar Au Chocolat,U.S.A.,2012,Dominican Republic,Duarte Province,70,2,"B,S",3
983,Bar Au Chocolat,U.S.A.,2012,Mexico,Chiapas,70,2,"B,S",4
983,Bar Au Chocolat,U.S.A.,2012,Madagascar,Sambirano,70,2,"B,S",4
1295,Bar Au Chocolat,U.S.A.,2014,Peru,Maranon Canyon,70,2,"B,S",4
1554,Bar Au Chocolat,U.S.A.,2015,Brazil,Bahia,70,2,"B,S",4
1980,Bar Au Chocolat,U.S.A.,2017,Costa Rica,"Turrialba, Cartago P.",72,2,"B,S",4
1980,Bar Au Chocolat,U.S.A.,2017,Trinidad,Montserrat Hills,80,2,"B,S",4
955,Baravelli's,Wales,2012,Costa Rica,single estate,80,4,"B,S,C,V",3
1880,Batch,U.S.A.,2016,Ecuador,Ecuador,65,3,"B,S,C",3
1840,Batch,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 3",65,3,"B,S,C",4
1868,Batch,U.S.A.,2016,Brazil,Brazil,70,3,"B,S,C",4
2374,Bean,U.K.,2019,Peru,Peru,70,4,"B,S,C,V",2
1948,Beau Cacao,U.K.,2017,Malaysia,"Asajaya E, NW Borneo, b. #132/4500",73,3,"B,S,C",3
1948,Beau Cacao,U.K.,2017,Malaysia,"Serian E., NW Borneo, b. #134/3800",72,3,"B,S,C",3
1784,Beehive,U.S.A.,2016,Brazil,"Brazil, Batch 20316",80,3,"B,S,C",3
1784,Beehive,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 31616",70,3,"B,S,C",3
1784,Beehive,U.S.A.,2016,Ecuador,"Ecuador, Batch 31516",70,3,"B,S,C",3
1788,Beehive,U.S.A.,2016,Ecuador,Ecuador,90,3,"B,S,C",3
586,Belcolade,Belgium,2010,Costa Rica,Costa Rica,64,4,"B,S,C,L",3
586,Belcolade,Belgium,2010,Papua New Guinea,Papua New Guinea,64,4,"B,S,C,L",3
586,Belcolade,Belgium,2010,Peru,Peru,64,4,"B,S,C,L",3
586,Belcolade,Belgium,2010,Ecuador,Ecuador,71,4,"B,S,C,L",4
1804,Bellflower,U.S.A.,2016,Bolivia,"Alto Beni, Palos Blanco",70,3,"B,S,C",3
1800,Bellflower,U.S.A.,2016,Tanzania,"Kokao Kamili, Kilombero Valley",70,3,"B,S,C",4
1864,Bellflower,U.S.A.,2016,Dominican Republic,"Oko Caribe, Duarte P.",70,2,"B,S",4
2190,Belvie,Vietnam,2018,Vietnam,Lam Dong,75,3,"B,S,C",3
2648,Belvie,Vietnam,2021,Vietnam,"Ben Tre, batch 70301",70,3,"B,S,C",4
1768,Belyzium,Germany,2016,Belize,"Belize south, low fermentation",83,3,"B,S,C",3
1768,Belyzium,Germany,2016,Belize,Belize south,78,3,"B,S,C",3
1768,Belyzium,Germany,2016,Belize,Belize south,83,3,"B,S,C",4
2246,Benns,Singapore,2018,Vietnam,Vung Tau,72,4,"B,S,C,L",3
2246,Benns,Singapore,2018,India,"Anamalai, 2018 harvest",72,4,"B,S,C,L",3
2246,Benns,Singapore,2018,Malaysia,"Sungai Ruan, Koh Farm",72,4,"B,S,C,L",3
773,Benoit Nihant,Belgium,2011,Madagascar,"Somia Plantation, Sambirano, 70hr C",72,3,"B,S,C",4
757,Benoit Nihant,Belgium,2011,Indonesia,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72,3,"B,S,C",4
1141,Benoit Nihant,Belgium,2013,Cuba,Baracoa,74,3,"B,S,C",4
1141,Benoit Nihant,Belgium,2013,Venezuela,Cuyagua Village,74,3,"B,S,C",4
1141,Benoit Nihant,Belgium,2013,Venezuela,Chuao,74,3,"B,S,C",4
1141,Benoit Nihant,Belgium,2013,Ecuador,Rio Peripa H.,73,3,"B,S,C",4
797,Bernachon,France,2012,Blend,Nature,55,5,"B,S,C,V,L",3
508,Beschle (Felchlin),Switzerland,2010,Venezuela,"Carenero S., Barlovento, Grand Cru",70,3,"B,S,C",3
508,Beschle (Felchlin),Switzerland,2010,Venezuela,"Porcelana, Premier Cru, Quizas No. 1",74,3,"B,S,C",3
508,Beschle (Felchlin),Switzerland,2010,Indonesia,"Java, Grand Cru",64,3,"B,S,C",4
508,Beschle (Felchlin),Switzerland,2010,Venezuela,"Ocumare, Premier Cru, Quizas No. 2",72,3,"B,S,C",4
636,Beschle (Felchlin),Switzerland,2011,Madagascar,Madagascar,64,3,"B,S,C",3
636,Beschle (Felchlin),Switzerland,2011,Venezuela,Maracaibo,88,3,"B,S,C",3
636,Beschle (Felchlin),Switzerland,2011,Venezuela,"Indigena Amazonia, Grand Cru, Quizas",72,3,"B,S,C",4
636,Beschle (Felchlin),Switzerland,2011,Ecuador,Ecuador,72,3,"B,S,C",4
1482,Bisou,U.S.A.,2015,Nicaragua,"Nicaragua, American style",76,2,"B,S",2
1486,Bisou,U.S.A.,2015,Costa Rica,"San Andres, American style",76,2,"B,S",2
1486,Bisou,U.S.A.,2015,Costa Rica,"San Andres, silk",78,4,"B,S,C,V",2
1486,Bisou,U.S.A.,2015,Belize,Belize,86,4,"B,S,C,V",3
2088,Bitacora,Venezuela,2018,Venezuela,Merida,70,4,"B,S,C,L",3
2088,Bitacora,Venezuela,2018,Venezuela,Carabobo,70,4,"B,S,C,L",3
2084,Bitacora,Venezuela,2018,Venezuela,Aragua,70,4,"B,S,C,L",4
233,Bittersweet Origins,U.S.A.,2008,Madagascar,Sambirano,71,2,"B,S",3
256,Bittersweet Origins,U.S.A.,2008,Ghana,Ankasa,70,2,"B,S",3
233,Bittersweet Origins,U.S.A.,2008,Panama,Bocas del Toro,75,2,"B,S",4
233,Bittersweet Origins,U.S.A.,2008,Dominican Republic,Puerto Plata,68,2,"B,S",4
414,Bittersweet Origins,U.S.A.,2009,Dominican Republic,Puerto Plata,75,2,"B,S",3
423,Bittersweet Origins,U.S.A.,2009,Madagascar,Sambirano,75,2,"B,S",3
414,Bittersweet Origins,U.S.A.,2009,Dominican Republic,Puerto Plata,65,2,"B,S",4
431,Bittersweet Origins,U.S.A.,2009,Madagascar,Sambirano,65,2,"B,S",4
558,Bittersweet Origins,U.S.A.,2010,Indonesia,"Bali, Singaraja",65,2,"B,S",3
565,Bittersweet Origins,U.S.A.,2010,Madagascar,"Sambirano, 2009",70,2,"B,S",3
565,Bittersweet Origins,U.S.A.,2010,Venezuela,"Ocumare, prototype",78,2,"B,S",3
478,Bittersweet Origins,U.S.A.,2010,Indonesia,"Bali, Singaraja",75,2,"B,S",3
502,Bittersweet Origins,U.S.A.,2010,Blend,"2009 Hapa Nibby, Dominican Rep., Bali",70,2,"B,S",4
963,Bittersweet Origins,U.S.A.,2012,Ghana,Ghana,72,3,"B,S,C",4
2108,Bixby,U.S.A.,2018,Haiti,Haiti,70,2,"B,S",3
2114,Bixby,U.S.A.,2018,Guatemala,Guatemala,70,2,"B,S",3
2114,Bixby,U.S.A.,2018,Dominican Republic,Dominican Republic,70,2,"B,S",3
2422,Bixby,U.S.A.,2019,Belize,Belize,70,2,"B,S",3
256,Black Mountain,U.S.A.,2008,Dominican Republic,La Red,70,3,"B,S,C",3
256,Black Mountain,U.S.A.,2008,Venezuela,Carenero Superior,70,3,"B,S,C",3
256,Black Mountain,U.S.A.,2008,Nicaragua,Matiguas,70,3,"B,S,C",3
2574,Black Mountain,U.S.A.,2021,Dominican Republic,"""Cocoa Nibs"", Hispaniola w/ nibs",70,4,"B,S,C,L",4
1331,Black River (A. Morin),U.K.,2014,Jamaica,Blue Mountain Region,70,4,"B,S,C,L",3
2590,Black Sheep,U.S.A.,2021,Colombia,"Sierra Nevada, batch 92",72,3,"B,S,C",3
2590,Black Sheep,U.S.A.,2021,Belize,"Maya Mountain, batch 98",72,3,"B,S,C",3
322,Blanxart,Spain,2009,Blend,Organic Dark,72,4,"B,S,C,V",3
1046,Blanxart,Spain,2013,Congo,"Congo, Grand Cru",82,4,"B,S,C,V",4
911,Blue Bandana,U.S.A.,2012,Guatemala,Guatemala,70,3,"B,S,C",4
911,Blue Bandana,U.S.A.,2012,Madagascar,Madagascar,70,3,"B,S,C",4
1752,Blue Bandana,U.S.A.,2016,Guatemala,Lachua,75,2,"B,S",3
1756,Blue Bandana,U.S.A.,2016,Dominican Republic,Zorzal Reserva,75,2,"B,S",3
1740,Blue Bandana,U.S.A.,2016,Madagascar,"Akesson's E., Sambirano V.",82,2,"B,S",4
1752,Blue Bandana,U.S.A.,2016,Tanzania,Kokoa Kamili,75,2,"B,S",4
1996,Boho,U.S.A.,2017,Belize,Maya Mtn,70,3,"B,S,C",3
2290,Bonaterra,Malaysia,2019,Malaysia,"Keningau, Borneo Island",68,2,"B,S",2
2290,Bonaterra,Malaysia,2019,Malaysia,"Kota Marudu, Borneo Island",72,2,"B,S",3
2290,Bonaterra,Malaysia,2019,Malaysia,"Tawau, Borneo Island",74,2,"B,S",3
81,Bonnat,France,2006,Blend,One Hundred,100,null,null,2
81,Bonnat,France,2006,Sri Lanka,Ceylan,75,3,"B,S,C",3
24,Bonnat,France,2006,Blend,"Carribean, Trinite",75,3,"B,S,C",4
32,Bonnat,France,2006,Venezuela,"Ocumare, Puerto Cabello",75,3,"B,S,C",4
75,Bonnat,France,2006,Madagascar,Madagascar,75,3,"B,S,C",4
48,Bonnat,France,2006,Venezuela,"Maracaibo, El Rosario",75,3,"B,S,C",4
81,Bonnat,France,2006,Venezuela,Chuao,75,3,"B,S,C",4
123,Bonnat,France,2007,Ecuador,Equateur,75,3,"B,S,C",2
