ID,Gender,Age,Customer_Type,Type_of_Travel,Class,Flight_Distance,Departure_Delay,Arrival_Delay,Rating,user_id,batch_id,processing_date
23.0,Female,56.0,  Returning  ,Personal,  Economy  ,821,0,0.0,4.0,2062,4749,NOISE_322
24.0,Male,77.0,nan,Business,Economy Plus,821,0,0.0,5.0,5372,5918,NOISE_545
25.0,Male,51.0,Returning,business,  Business  ,3460,0,2.0 years,3.0,5519,7979,NOISE_396
26.0,male,47.0,nan,Business,Business,1676,0,15.0,4.0,7653,4338,NOISE_137
27.0,Male,50.0,Returning,Business,  Business  ,2168,6,24.0,3.0,1930,1640,NOISE_269
28.0,Male,58.0,  Returning  ,Business,  Business  ,2867,0,0.0,5.0,7994,7607,NOISE_171
29.0,Male,40.0,Returning,Business,Business,3734,0,52.0,4.0,6374,2493,NOISE_123
30.0,M,48.0,Returning,Business,business,3088,0,12.0,4.0,7382,6184,NOISE_152
31.0,Male,35.0,First-time,Business,Business,212,0,0.0,2.0,7495,5175,NOISE_541
32.0,Male,,First-time,  Business  ,Economy,173,0,0.0,0.0,3760,8851,NOISE_655
33.0,Male,33.0,nan,Business,Business,173,22,28.0,2.0,9043,1396,NOISE_754
34.0,Female,48.0 years,  Returning  ,  Business  ,Business,173,0,0.0,,2747,6985,NOISE_510
35.0,Male,39.0,Returning,Business,Business,1672,23,17.0,2.0,2348,4479,NOISE_405
36.0,Female,42.0,Returning,Business,Business,2884,0,0.0,2.0,6648,2449,NOISE_969
37.0,Female,54.0,Returning,  Business  ,  Business  ,212,12,26.0,4.0,7810,3812,NOISE_290
38.0,Female,51.0,Returning,Business,Business,215,0,0.0,4.0,2586,6312,NOISE_565
39.0,Female,46.0,Returning,Business,  Business  ,67,0,0.0,3.0,6876,6567,NOISE_761
40.0,Male,51.0,Returning,Business,Business,212,0,0.0,2.0,9130,1689,NOISE_815
41.0,Male,54.0,  Returning  ,  Business  ,business,1554,59,70.0,2.0,5782,6451,NOISE_423
42.0,Female,45.0,Returning,Business,Business,108,0,0.0,-1.0,1195,3947,NOISE_517
43.0,M,54.0,Returning,Business,Business,1584,0,8.0,2.0,6803,9628,NOISE_935
44.0,MALE,51.0,Returning,Business,  Business  ,2077,0,1.0,1.0,9431,2906,NOISE_609
45.0,Male,-100.0,Returning,  Business  ,Business,173,30,14.0,5.0,6393,7754,NOISE_885
46.0,Female,-100.0,nan,  Business  ,Economy,173,-16,13.0,0.0,8377,2400,NOISE_514
47.0,Male,24.0,First-time,Business,Business,108,0,0.0,,5621,9518,NOISE_491
48.0,Female,40.0,First-time,Business,Business,212,29,41.0,,6687,9768,NOISE_595
49.0,Male,20.0,  First-time  ,Business,Economy,108,0,29.0,5.0,7076,2542,NOISE_845
50.0,Male,27.0,First-time,Business,Business,108,0,0.0,4.0,7539,7337,NOISE_627
51.0,Male,44.0,Returning,Business,Business,1859,0,0.0,2.0,6629,1124,NOISE_464
52.0,Female,20.0,  First-time  ,Business,Economy,67,2,10.0,0.0,5206,9391,NOISE_681
53.0,Male,37.0,First-time,Business,Business,212,4,1.0,3.0,2979,9559,NOISE_252
54.0,Male,40.0,Returning,  BUSINESS  ,  Business  ,2853,0,0.0,3.0,4704,2558,NOISE_230
55.0,Male,36.0,Returning,Business,Business,3655,40,71.0,,8508,4523,NOISE_874
56.0,Female,56.0,Returning,Business,Business,2485,0,0.0,2.0,9379,7755,NOISE_698
57.0,M,56,Returning,Business,Business,67,0,0.0,1.0,3878,4747,NOISE_489
58.0,Female,43.0,Returning,Business,Business,2199,0,0.0,5.0,9726,1290,NOISE_908
59.0,Female,41.0,Returning,Business,Business,3997,1,0.0,1.0,5257,1363,NOISE_682
60.0,Male,,Returning,Business,  Business  ,3392,19,34.0,1.0,7393,4557,NOISE_977
61.0,Male,42.0 years,Returning,Business,Business,3391,0,0.0,3.0,6920,7392,NOISE_615
62.0,Male,31.0,Returning,Business,Economy,173,151,186.0,5.0,7726,7660,NOISE_149
63.0,Female,,Returning,Business,  Business  ,2423,0,8.0,4.0,5343,7198,NOISE_235
64.0,Male,56.0,Returning,  Business  ,Business,173,0,3.0,1.0,6576,7531,NOISE_291
65.0,Male,24.0,First-time,Business,Economy,108,0,0.0,0.0,1444,4703,NOISE_310
66.0,Male,36.0,Returning,Business,Business,173 years,12 years,8.0,5.0,1912,3618,NOISE_975
67.0,M,50.0,  Returning  ,Business,Business,67,0,0.0,4.0,3244,6345,NOISE_882
68.0,Male,43.0,RETURNING,Business,Business,173,0,0.0,5.0,9112,9237,NOISE_979
69.0,Male,52.0,  Returning  ,Business,  BUSINESS  ,212,0,67.0,1.0,1787,9545,NOISE_290
70.0,Female,49.0,Returning,Business,Business,3213,68,59.0,3.0,8234,8017,NOISE_678
71.0,Female,47.0,First-time,  Business  ,  Economy  ,173,0,14.0,4.0,5651,8450,NOISE_444
72.0,Male,53.0,  Returning  ,  Business  ,Business,3201,7,24.0,2.0,1596,4273,NOISE_272
73.0,Male,70.0,Returning,  Business  ,Economy,173,0,0.0,5.0,4326,6450,NOISE_901
74.0,MALE,25.0,First-time,Business,  Economy  ,212,10,1.0,2.0,9714,7689,NOISE_251
75.0,Female,23.0,First-time,Business,Economy,108,0,0.0,5.0,6865,9239,NOISE_894
76.0,Male,55.0,  First-time  ,Business,Economy,108,0,0.0,0.0,2592,9977,NOISE_360
77.0,Female,72.0,First-time,BUSINESS,Economy,67,324,296.0,3.0,7947,9191,NOISE_965
78.0,male,58.0,Returning,Personal,economy,173,0,4.0,4.0,6716,9223,NOISE_418
79.0,Female,70.0,Returning,Personal,  Economy  ,108,50,41.0,4.0,2851,6785,NOISE_907
80.0,Female,,  Returning  ,Personal,Economy,173,45,29.0,1.0,8683,4046,NOISE_915
81.0,Female,19,Returning,personal,Economy,215,0,0.0,3.0,4949,3993,NOISE_894
82.0,Male,39.0,  Returning  ,Personal,Economy,108,0,7.0,2.0,5382,9566,NOISE_626
83.0,Male,58.0,Returning,Personal,Economy,215,254 years,254.0,2.0,7192,2828,NOISE_976
84.0,Female,,Returning,Personal,Economy,173,0,0.0 years,3.0,5100,7341,NOISE_956
85.0,Male,53.0,nan,  PERSONAL  ,  Economy  ,173,0,0.0,1.0,6322,8077,NOISE_802
86.0,Female,27.0,Returning,  Personal  ,Economy,212,0,-13.0,0.0,2861,5176,NOISE_733
87.0,Male,65.0,Returning,Personal,Economy,67,1,0.0,5.0,6627,6383,NOISE_674
88.0,Female,52.0,Returning,Personal,economy,67,2,0.0,5.0,3952,6912,NOISE_877
89.0,Female,53.0,returning,Personal,Economy,108,0,0.0,2.0,6672,7823,NOISE_795
90.0,Male,41.0,Returning,  Business  ,  Business  ,2865,72,78.0,,9719,6151,NOISE_304
91.0,Female,32.0,First-time,Business,  Business  ,173,0,5,4.0,1750,5906,NOISE_291
92.0,Female,50.0,Returning,Business,Business,2035,0,34.0 years,5.0,2609,4662,NOISE_291
93.0,Female,43.0,Returning,Business,Business,3513,101,123.0,2.0,3494,6397,NOISE_298
94.0,Male,80.0,Returning,Business,Economy Plus,108,0,0.0,4.0,7372,7861,NOISE_479
95.0,Female,7.0,Returning,Personal,  Economy Plus  ,173,18,35.0,5.0,6686,8981,NOISE_869
96.0,Female,34.0,Returning,Personal,  Economy Plus  ,173,0,0.0,4.0,9972,2668,NOISE_618
97.0,Female,18.0,First-time,Business,  Economy plus  ,215,0,0.0,5.0,2660,7901,NOISE_290
98.0,MALE,44.0,nan,Business,  Business  ,562,0,11.0,4.0,3704,8358,NOISE_394
99.0,Female,52.0,Returning,Business,Business,562,27,18.0,5.0,1290,4115,NOISE_232
100.0,Female,23.0,First-time,  Business  ,Economy,562,27,36.0,4.0,2899,5567,NOISE_814
101.0,Male,44.0,nan,  BUSINESS  ,Business,2992,0,0.0,1.0,4277,7492,NOISE_335
102.0,M,51.0,Returning,Business,Business,1970,0,0.0,3.0,2579,2291,NOISE_921
103.0,Male,44.0,Returning,Business,Business,1964,0,0.0,1.0,1230,5015,NOISE_628
104.0,Male,42.0,Returning,Business,  Business  ,3227,0,0.0,3.0,4448,9579,NOISE_417
105.0,Female,55.0,Returning,Business,Business,2639,0,0.0,1.0,5149,3740,NOISE_687
106.0,Male,24.0,First-time,  Business  ,Business,-562,96,95,0.0,8447,1918,NOISE_199
107.0,MALE,47.0,Returning,Business,Business,3477,0,27.0,4.0,7105,3841,NOISE_867
108.0,Male,-100.0,Returning,Business,Business,562,45,51.0,,2738,1940,NOISE_244
109.0,Female,72.0,Returning,Business,Business,1954,60,145.0,1.0,3024,8972,NOISE_656
110.0,Female,27.0,First-time,Business,  Business  ,562,0,0.0,5.0,6662,8194,NOISE_220
111.0,Female,39.0,Returning,business,Business,2046,104,122.0,2.0,2393,8964,NOISE_382
112.0,Female,11.0,First-time,Business,Economy,562,1,2.0,0.0,5904,1249,NOISE_835
113.0,Male,,  Returning  ,Business,Business,3389,32,40.0,2.0,5682,3336,NOISE_773
114.0,Female,51.0,Returning,  Business  ,  business  ,562,0,15,3.0,3231,1680,NOISE_432
115.0,Female,12.0,First-time,  Business  ,  Business  ,562,11 years,25.0,6.0,9359,7931,NOISE_259
116.0,Female,26.0,First-time,Business,  Business  ,562,0,8.0,2.0,2568,2096,NOISE_382
117.0,Male,39.0,Returning,  Business  ,Business,1553,0,0.0,4.0,9811,3051,NOISE_456
118.0,Male,32.0,Returning,Business,  business  ,562,183,192.0,5.0,7175,3677,NOISE_811
119.0,Female,37.0,Returning,  Business  ,ECONOMY,162,0,21.0,1.0,3788,5700,NOISE_983
120.0,Male,40.0,  Returning  ,Business,Business,3043,-38,29.0,2.0,3871,6112,NOISE_217
121.0,Male,38.0,Returning,Personal,Economy,562,0,6.0 years,1.0,9809,9235,NOISE_374
122.0,Male,17.0,Returning,PERSONAL,Economy,562,3,6.0,105.0,5287,5169,NOISE_482
123.0,Female,33.0 years,Returning,Personal,  Economy  ,562,30,41.0,3.0,9018,9875,NOISE_817
124.0,Female,7.0,Returning,Personal,Economy,562,0,2.0,5.0,5124,4915,NOISE_157
125.0,Male,,Returning,Personal,Economy,562,103,117,5.0,1409,5560,NOISE_289
126.0,Male,-1.0,Returning,Personal,Economy,562,88,84,5.0,2770,5102,NOISE_297
127.0,Male,68.0,Returning,Personal,Economy,562,42,37.0,1.0,3761,6785,NOISE_441
128.0,Male,65.0,RETURNING,  Personal  ,Economy,562,7,15.0,1.0,2431,9107,NOISE_642
129.0,M,67.0,Returning,Personal,ECONOMY,562,0,0.0,2.0,4698,3945,NOISE_848
130.0,Female,39.0,  Returning  ,Business,  Business  ,1868,54,49.0,1.0,3437,5140,NOISE_986
131.0,Female,28.0,First-time,Business,Business,562,115,116.0,3.0,7117,5066,NOISE_952
132.0,Male,59.0 years,First-time,Business,BUSINESS,227,11,5.0,2.0,5678,4882,NOISE_373
133.0,Female,-100.0,First-time,Business,  business  ,227,38,44.0,3.0,5894,8017,NOISE_827
134.0,Female,33.0 years,Returning,Business,  Business  ,227,56,57.0,1.0,2663,6732,NOISE_650
135.0,Male,56.0 years,First-time,Business,Business,227,0,0.0,3.0,3847,3695,NOISE_469
136.0,Female,43.0,Returning,Business,Business,2029,4 years,15.0,2.0,4980,6097,NOISE_688
137.0,Female,45.0,Returning,Business,Business,227,0 years,16.0,5.0,3660,5274,NOISE_884
138.0,MALE,45.0,Returning,Business,Business,2374,0,0.0,2.0,4994,3439,NOISE_356
139.0,Female,69.0,Returning,  business  ,Business,3261,3,3.0,5.0,8135,6927,NOISE_678
140.0,Male,31.0 years,nan,Business,Business,"3,538",0,5.0,4.0,5310,6859,NOISE_803
141.0,Female,,Returning,business,  business  ,227,7,1.0,4.0,5771,1553,NOISE_763
142.0,Male,-100.0,  Returning  ,Business,Business,227,0,0.0,2.0,8090,3008,NOISE_110
143.0,Female,39.0,  Returning  ,Business,Business,227,0 years,18.0,0.0,6271,4541,NOISE_851
144.0,Female,41.0,Returning,Business,  Business  ,3002,0,0.0,0.0,3340,1797,NOISE_511
145.0,male,16.0,Returning,Business,Business,227,265,260.0,1.0,5374,5797,NOISE_868
146.0,Male,60.0,Returning,Business,BUSINESS,2371,66,61.0,4.0,3050,7921,NOISE_513
147.0,Female,47.0,returning,Business,Business,1946,117,136.0,1.0,5969,5889,NOISE_255
148.0,Female,,Returning,Business,  BUSINESS  ,227,58,62.0,3.0,2068,4605,NOISE_717
149.0,Male,37.0,Returning,Business,Business,3758,41,50.0,3.0,9510,2083,NOISE_139
150.0,Male,21.0,First-time,Business,Economy,227,166,185.0,1.0,9130,3760,NOISE_214
151.0,Male,36.0,Returning,  Business  ,Business,1534,11,19.0,1.0,4835,7405,NOISE_381
152.0,Female,51.0,Returning,BUSINESS,Business,3424,44,42.0,4.0,7018,8495,NOISE_152
153.0,Female,-1.0,Returning,  Business  ,  Business  ,227,0,10.0,3.0,8525,9635,NOISE_627
154.0,Female,41.0,Returning,Business,Business,2731,0,0.0,4.0,5094,5629,NOISE_111
155.0,MALE,17.0,First-time,  Business  ,Business,227,0,11.0,3.0,6282,4783,NOISE_750
156.0,Female,49.0,First-time,Business,Business,227,4,9.0,2.0,3146,2183,NOISE_763
157.0,Male,60.0 years,Returning,Business,Business,3415,0,0.0,3.0,7363,4162,NOISE_563
158.0,Male,22.0,First-time,  Business  ,Economy,227,0,0.0,4.0,6527,8514,NOISE_454
159.0,Female,46.0,  Returning  ,  Business  ,BUSINESS,227,0,0.0,4.0,4451,4731,NOISE_158
160.0,Female,42.0,Returning,Personal,Economy,227,55,59.0,4.0,4364,1424,NOISE_154
161.0,Male,20.0,Returning,Personal,  Economy  ,227,49,63.0,5.0,7061,2072,NOISE_454
162.0,M,14.0,Returning,Personal,Economy,227,0,0.0,5.0,3563,1320,NOISE_736
163.0,MALE,64.0,Returning,Personal,Economy,227,6,0.0,4.0,7593,7200,NOISE_797
164.0,Male,12.0,Returning,Personal,Economy,227,134,133.0,4.0,1518,1508,NOISE_705
165.0,Male,29.0,Returning,  Personal  ,  Economy  ,227,52,56.0,5.0,3289,9357,NOISE_435
166.0,Female,44.0,Returning,Personal,Economy,227,31,25.0,3.0,8309,4397,NOISE_820
167.0,Male,,Returning,  Personal  ,Economy,227,0,0.0,5.0,1820,1322,NOISE_250
168.0,Male,37.0,Returning,Personal,Economy,227,36,43.0,5.0,3633,7887,NOISE_126
169.0,Male,35.0,Returning,Personal,Economy,227,0,10.0,3.0,3136,1953,NOISE_570
170.0,Female,,Returning,  Personal  ,Economy,227,0,0.0,5.0,4090,9274,NOISE_919
171.0,Female,49.0,Returning,BUSINESS,Business,1798,15,12.0,4.0,9700,7097,NOISE_167
172.0,Male,37.0,Returning,Business,Business,227,0,0.0,3.0,9337,2908,NOISE_656
173.0,Female,57.0,Returning,Business,Business,-227,10,10.0,1.0,4674,5851,NOISE_852
174.0,Female,39.0,Returning,Business,business,3822,6,9.0,4.0,3077,6372,NOISE_119
175.0,Male,36.0,First-time,Business,Business,227,0 years,0.0,2.0,1123,1480,NOISE_173
176.0,Female,56.0,Returning,Personal,ECONOMY PLUS,227,0,17.0,3.0,3822,8820,NOISE_776
177.0,Female,10.0,nan,Personal,  Economy Plus  ,227,39,56.0,4.0,8050,4577,NOISE_629
178.0,Male,28.0,Returning,Personal,ECONOMY PLUS,227,0,0.0,1.0,1079,8133,NOISE_658
179.0,Female,36.0,Returning,  Business  ,  Business  ,213,0,0.0,4.0,7999,8768,NOISE_167
180.0,Male,56.0,  Returning  ,Business,Business,2975,0,13.0,5.0,5635,1613,NOISE_137
181.0,Female,56.0,Returning,Business,  Business  ,213,0,0.0,4.0,3353,4552,NOISE_230
182.0,Male,44.0,Returning,Business,Business,2569,0,0.0,4.0,7294,3969,NOISE_251
183.0,Male,26.0,First-time,Business,Business,213,0,0.0,0.0,8493,1468,NOISE_618
184.0,Male,,Returning,Business,Business,2497,0,0.0,4.0,1462,2657,NOISE_263
185.0,Male,49.0,nan,Business,  Business  ,213,19,29.0,1.0,3794,9888,NOISE_160
186.0,MALE,42.0,  Returning  ,Business,Business,3880,0,0.0,1.0,5539,6425,NOISE_430
187.0,Male,36.0,First-time,Business,Business,213,0,0.0,3.0,7603,1358,NOISE_531
188.0,Male,20.0,First-time,Business,Business,213,0,0.0,2.0,9133,4482,NOISE_311
189.0,Female,42.0,Returning,Business,Business,2888,0,0.0,0.0,1707,4900,NOISE_357
190.0,Male,44.0,Returning,Business,Business,290,0,0.0,,5396,7657,NOISE_737
191.0,Male,35.0,First-time,Business,Business,213,41,29.0,2.0,8458,6193,NOISE_940
192.0,Male,52.0,Returning,Business,Business,2129,95,85.0,2.0,6067,7979,NOISE_187
193.0,Female,50.0,Returning,Business,Business,213,0,0.0,1.0,5413,8032,NOISE_328
194.0,Female,46.0,Returning,BUSINESS,Business,3556,128,117.0,2.0,6623,7361,NOISE_934
195.0,Male,36.0,Returning,Business,Business,3098,0,0.0,4.0,3637,4024,NOISE_496
196.0,Male,,  First-time  ,Business,Economy,213,21 years,31.0,5.0,9524,3034,NOISE_742
197.0,Male,56.0,Returning,Business,Business,"2,136",0,0.0,2.0,1165,8925,NOISE_707
198.0,M,57.0,First time,Business,Business,213,0,0.0,,6729,4333,NOISE_473
199.0,Female,60.0,  Returning  ,Business,Business,3756,36,24.0,4.0,9197,6386,NOISE_645
200.0,Female,121.0,returning,  Business  ,Business,3175,54,55,3.0,2973,4525,NOISE_951
201.0,Female,43.0,nan,Business,Business,213,65,85.0,5.0,3361,8747,NOISE_968
202.0,Male,38.0,First-time,Business,BUSINESS,213,17,4.0,3.0,6166,7672,NOISE_878
203.0,Female,27.0,  First-time  ,Business,  Business  ,290,0,0.0,3.0,7145,9979,NOISE_173
204.0,Female,71.0,Returning,Business,Business,2376,9,8.0,3.0,6121,2626,NOISE_748
205.0,Male,59.0,Returning,Business,Business,1828,21,19.0,5.0,7865,1051,NOISE_841
206.0,male,53.0,Returning,Business,Business,3728,0,0.0,4.0,9835,6012,NOISE_771
207.0,Female,,Returning,Business,  Business  ,213,0,0.0,5.0,3205,1584,NOISE_612
208.0,male,49.0,First-time,Business,  Business  ,213 years,20,21.0,2.0,5123,8870,NOISE_582
209.0,Male,69.0,Returning,Business,  Business  ,290,0,0.0,2.0,6884,8087,NOISE_266
210.0,Female,27.0,First-time,Business,Economy,213 years,6,4.0,2.0,5372,8366,NOISE_474
211.0,MALE,,First-time,  Business  ,Economy,213,1,4.0,0.0,5513,4407,NOISE_641
212.0,M,30,nan,Business,Business,213,25,13.0,5.0,7929,8984,NOISE_145
213.0,Male,16.0,Returning,Business,Business,213,0,0.0,5.0,7017,6831,NOISE_512
214.0,Male,38.0,First-time,Business,Business,213,0,0.0,2.0,1363,2017,NOISE_481
215.0,Male,34.0,Returning,  Personal  ,Economy,213,0,0.0,4.0,4538,4055,NOISE_856
216.0,Female,35.0,  Returning  ,Personal,  ECONOMY  ,213,0,2.0,3.0,2999,4927,NOISE_946
217.0,M,48.0,Returning,  Personal  ,Economy,290,0,0.0,5.0,3157,9795,NOISE_291
218.0,Male,17.0,Returning,Personal,  Economy  ,213,0,3.0,4.0,4127,7437,NOISE_564
219.0,male,31.0,Returning,Personal,Economy,290,0,0.0,5.0,1779,3740,NOISE_664
220.0,M,31.0,Returning,personal,economy,290,25,42.0,4.0,8066,7064,NOISE_132
221.0,Female,36.0,  Returning  ,Personal,Economy,213,0,0.0,0.0,8852,3587,NOISE_258
222.0,Female,44.0,Returning,PERSONAL,Economy,213,0,5.0,5.0,3082,8339,NOISE_789
223.0,Female,16.0,Returning,  Personal  ,Economy,213,192,293.0 years,5.0,8622,9030,NOISE_498
224.0,Male,35.0,Returning,Personal,  Economy  ,290,0,24.0,4.0,2918,7314,NOISE_252
225.0,Male,29,Returning,Personal,Economy,290,0,0.0,5.0,1170,7432,NOISE_356
226.0,Male,66.0,Returning,Personal,Economy,290,0,0.0,5.0,1700,9013,NOISE_407
227.0,Female,56.0,Returning,Personal,Economy,213,20,8.0,0.0,9864,5983,NOISE_806
228.0,male,17.0,nan,  Personal  ,Economy,213,0,0.0,4.0,4205,3590,NOISE_679
229.0,Female,33.0,Returning,Business,Business,213,0,0.0,5.0,1542,1301,NOISE_984
230.0,male,44.0,First-time,Business,Business,213,6,40.0,2.0,3955,4857,NOISE_826
231.0,Female,47.0,Returning,Business,Business,1957,14,10.0,1.0,7351,9417,NOISE_504
232.0,Female,57.0,Returning,Business,  Business  ,213,0,0.0,4.0,3146,2356,NOISE_850
233.0,Female,38.0,First time,  Business  ,  Business  ,213,0,0.0,4.0,3464,4713,NOISE_850
234.0,Male,47.0,Returning,Business,Economy Plus,213,0,0.0,4.0,7850,9707,NOISE_845
235.0,Female,16.0,Returning,  Personal  ,  Economy Plus  ,213,0 years,0.0,2.0,5370,2460,NOISE_474
236.0,Male,35.0 years,Returning,Business,  Business  ,3242,0,4.0,4.0,3317,3776,NOISE_864
237.0,Male,7.0,Returning,Personal,Business,719,0,2.0,5.0,3871,2265,NOISE_206
238.0,Female,39.0,Returning,Business,Business,719,82,89.0,2.0,9421,5189,NOISE_108
239.0,Male,44.0,Returning,Business,Business,719,2,11.0,3.0,8713,2169,NOISE_406
240.0,Female,,Returning,  Business  ,Business,3477,7,26.0,5.0,6432,3793,NOISE_562
241.0,Male,22.0,nan,Business,Business,2689 years,10,27.0,2.0,3998,8567,NOISE_585
242.0,Male,38.0 years,nan,  Business  ,Business,719,0,0.0,4.0,9713,8467,NOISE_714
243.0,Male,-100.0,  First-time  ,Business,Economy,719,14,25.0,1.0,4715,1080,NOISE_204
244.0,Male,,First-time,Business,Business,719,45,41.0,2.0,4358,4140,NOISE_185
245.0,Female,29.0,Returning,BUSINESS,  Business  ,2903,17,25.0 years,2.0,1434,3311,NOISE_567
246.0,Male,,Returning,Business,Business,719,116,140.0,2.0,7593,6343,NOISE_906
247.0,Male,11.0,returning,Business,Business,719,38,,1.0,3175,9531,NOISE_175
248.0,Male,23.0,Returning,Business,Business,719,35,42.0,4.0,9966,6618,NOISE_895
249.0,Male,20.0,First-time,BUSINESS,Economy,319,0,0.0,0.0,4255,5185,NOISE_241
250.0,Female,70.0,  Returning  ,personal,Economy,719,0,0.0,4.0,2916,7869,NOISE_640
251.0,Male,,First-time,Personal,Economy,719,193,205.0 years,2.0,8659,6189,NOISE_932
252.0,Female,50.0,Returning,Personal,Economy Plus,719,20,22.0,1.0,2889,7304,NOISE_706
253.0,Male,39.0,Returning,Personal,Economy Plus,719,51,79.0,5.0,6035,5323,NOISE_539
254.0,Male,18.0,Returning,Personal,economy plus,719,80,76.0,4.0,2785,8754,NOISE_754
255.0,Male,26.0,returning,  Business  ,Business,3800,158,213.0,4.0,7763,7565,NOISE_991
256.0,Male,22.0,First-time,Business,Business,612,92,99.0,4.0,2825,3112,NOISE_690
257.0,Male,58.0,Returning,Business,  Business  ,612,1,0.0,2.0,9449,4271,NOISE_885
258.0,Male,48.0,Returning,Business,Business,1708,4,0.0,4.0,8459,5864,NOISE_353
259.0,male,,Returning,Business,Business,612,14,19.0,3.0,4471,7700,NOISE_107
260.0,Male,,Returning,Business,Business,612,29,22.0,5.0,3524,7955,NOISE_353
261.0,Female,61.0,  Returning  ,Personal,Economy,612,6,6.0,4.0,2469,5730,NOISE_282
262.0,Male,63.0,Returning,Personal,Business,802,0,6.0,4.0,5342,7413,NOISE_987
263.0,Male,43.0,Returning,Personal,business,802,0,0.0,,4398,8986,NOISE_805
264.0,Female,43.0,Returning,  Business  ,Business,3967,1,0.0,5.0,5308,1133,NOISE_660
265.0,Female,49.0 years,Returning,Business,Business,825,0,0.0,3.0,3541,7953,NOISE_752
266.0,Male,44.0,  Returning  ,  Business  ,Business,2770,0,0.0,2.0,9530,9506,NOISE_598
267.0,male,40.0,Returning,Business,  Business  ,2026,0,0.0,1.0,5794,7196,NOISE_525
268.0,Male,20.0,First-time,Business,Economy,802,35,18.0,3.0,7866,9501,NOISE_577
269.0,Female,55.0,  Returning  ,  Business  ,  Business  ,802,165,167.0,5.0,4667,8206,NOISE_700
270.0,Female,121.0,Returning,Business,  Business  ,802,0,14.0,2.0,3919,7935,NOISE_988
271.0,male,35.0,First-time,Business,Business,802,0,2.0,1.0,8905,7694,NOISE_590
272.0,Male,43.0,Returning,Business,Business,802,0,0.0,1.0,5824,6050,NOISE_743
273.0,Male,53.0,Returning,Business,Business,3357,0,0.0,2.0,2446,2762,NOISE_976
274.0,Female,27.0,First-time,Business,Business,802,0,0.0,3.0,8254,4118,NOISE_357
275.0,Female,29.0,nan,Business,Business,3044,0,0.0,5.0,2715,9865,NOISE_847
276.0,Female,43.0,First-time,  Business  ,Economy,402,0,0.0,0.0,8087,1836,NOISE_586
277.0,Male,,  Returning  ,Business,Business,402,0,0.0,3.0,2902,8515,NOISE_429
278.0,Female,16.0,  Returning  ,Personal,Economy,802,0,0.0,5.0,3627,3153,NOISE_297
279.0,Female,23.0,  Returning  ,Personal,Economy,825,0,0.0,3.0,5442,2233,NOISE_728
280.0,Male,44.0,Returning,  Personal  ,ECONOMY,825,0,0.0,5.0,7509,6290,NOISE_249
281.0,Male,51.0,Returning,Personal,  Economy  ,825,0,0.0,4.0,7798,3397,NOISE_453
282.0,Male,,Returning,personal,  Economy  ,825,0,0.0,5.0,4907,4165,NOISE_217
283.0,Male,40.0,First-time,Business,  Business  ,802,11,4.0,4.0,9391,2812,NOISE_243
284.0,Male,-1.0,First-time,Business,  Economy  ,802,0,0.0,,3590,5463,NOISE_936
